Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,9/10,7/7,-,-,-,2/3
2024,5/4,5/4,-,-,-,-
2023,3/5,1/2,-,-,-,2/3
2022,1/1,1/1,-,-,-,-
