Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,600/410,534/314,46/62,13/18,7/16,-
2024,33/24,27/14,5/8,-,1/2,-
2023,27/30,21/15,3/8,1/4,2/3,-
2022,50/34,45/24,3/8,2/1,0/1,-
2021,43/31,35/21,3/5,3/3,2/2,-
2020,23/19,20/13,3/4,0/2,-,-
2019,40/33,30/17,4/8,4/4,2/4,-
2018,38/35,32/24,3/5,3/4,0/2,-
2017,53/34,49/30,4/3,-,0/1,-
2016,42/33,42/31,0/2,-,-,-
2015,46/31,44/28,2/2,-,0/1,-
2014,52/32,52/30,0/2,-,-,-
2013,50/26,36/21,14/5,-,-,-
2012,55/25,53/23,2/2,-,-,-
2011,32/16,32/16,-,-,-,-
2010,13/6,13/6,-,-,-,-
2009,3/1,3/1,-,-,-,-
