Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/18,22/18,-,-,-,-
2024,21/7,21/7,-,-,-,-
2023,0/2,0/2,-,-,-,-
2022,0/7,0/7,-,-,-,-
2021,0/1,0/1,-,-,-,-
2020,1/1,1/1,-,-,-,-
