Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,635/411,86/76,270/183,215/114,29/29,35/9
2024,33/21,0/1,18/14,13/6,-,2/0
2023,28/22,2/2,7/9,15/8,3/2,1/1
2022,23/17,1/4,12/9,5/3,1/1,4/0
2021,23/23,5/7,9/8,6/6,2/2,1/0
2020,17/10,8/3,9/7,-,-,-
2019,45/22,2/2,22/12,18/7,1/1,2/0
2018,35/26,0/1,8/15,23/8,1/2,3/0
2017,23/23,5/5,3/5,10/9,5/4,-
2016,34/27,7/5,12/9,13/9,0/4,2/0
2015,33/31,2/8,15/12,11/5,3/3,2/3
2014,60/28,10/6,16/10,27/9,2/3,5/0
2013,31/30,3/5,15/12,11/10,0/3,2/0
2012,38/22,0/1,19/7,17/11,2/3,-
2011,32/20,-,14/12,16/8,-,2/0
2010,49/18,2/1,22/10,12/5,9/1,4/1
2009,56/27,10/7,27/11,17/7,-,2/2
2008,36/24,13/7,22/15,1/2,-,-
2007,29/13,6/4,20/6,0/1,-,3/2
2006,10/4,10/4,-,-,-,-
2005,0/3,0/3,-,-,-,-
