Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,591/469,366/285,133/108,69/60,15/14,8/2
2024,11/18,10/13,0/3,1/2,-,-
2023,34/31,28/22,5/7,1/2,-,-
2022,30/36,16/19,1/6,7/9,1/1,5/1
2021,37/30,13/11,22/17,2/2,-,-
2020,24/27,14/13,3/9,4/4,-,3/1
2019,32/29,22/18,10/8,0/1,0/2,-
2018,42/28,11/12,12/7,11/6,8/3,-
2017,47/28,25/13,15/8,7/5,0/2,-
2016,35/28,18/18,13/4,4/4,0/2,-
2015,42/32,16/18,12/7,14/7,-,-
2014,44/21,23/9,17/9,4/3,-,-
2013,28/26,25/22,1/2,2/2,-,-
2012,31/28,19/15,7/8,1/2,4/3,-
2011,38/30,28/22,8/5,0/2,2/1,-
2010,47/26,37/18,7/5,3/3,-,-
2009,26/26,23/20,0/2,3/4,-,-
2008,39/19,34/16,0/1,5/2,-,-
2007,4/5,4/5,-,-,-,-
2005,0/1,0/1,-,-,-,-
