Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/14,18/9,-,2/2,-,13/3
2024,2/0,2/0,-,-,-,-
2023,10/3,4/3,-,-,-,6/0
2022,6/2,6/2,-,-,-,-
2021,4/1,4/1,-,-,-,-
2020,9/5,2/2,-,-,-,7/3
2019,0/1,0/1,-,-,-,-
2018,2/2,-,-,2/2,-,-
