Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
10.07.,Imai S.,2,,,,,,"['1', '0']",[],"['3', '2']",[],[],1.33
10.07.,Tanuma R.,1,,,,,,"['1', '1', '3', '1']",[],"['5', '5']",[],[],3.09
09.07.,Tanuma R.,2,,,,,,"['1', '0', '2', '1', '4', '3']","['5', '3']",[],[],[],1.81
09.07.,Nakagawa S.,0,,,,,,"['1', '1', '2', '2', '5', '5']",[],[],[],[],1.89
04.07.,Shiraishi H.,2,,,,,,"['3', '2', '6', '5']","['6', '4']","['4', '2', '6', '2']",[],[],1.29
04.07.,Tanuma R.,1,,,,,,"['3', '3', '6', '6']",[],[],[],[],3.32
03.07.,Tanuma R.,2,,,,,,"['1', '0', '3', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.22
03.07.,Koizumi N.,0,,,,,,"['1', '1']",[],[],[],[],3.91
02.07.,Tanuma R.,1,,,,,,"['2', '1', '4', '1']","['2', '1', '4', '1']",[],[],[],1.56
02.07.,Masabayashi T.,0,,,,,,[],[],[],[],[],2.30
10.06.,Kim G. J.,2,,,,,,"['1', '3', '4', '4', '6', '4']","['4', '2', '6', '2']",[],[],[],2.62
10.06.,Tanuma R.,0,,,,,,"['1', '0', '3', '0']",[],[],[],[],1.44
05.06.,Fukuda S.,2,,,,,,"['2', '1', '5', '4']","['1', '0', '3', '2', '4', '5']","['1', '0', '6', '5']",[],[],1.48
05.06.,Tanuma R.,1,,,,,,"['3', '3']","['1', '1', '3', '3', '5', '3', '6', '4']","['2', '2', '6', '6']",[],[],2.50
04.06.,Tanuma R.,2,,,,,,"['5', '3']","['1', '0', '5', '2']",[],[],[],-
04.06.,Karigyo T.,0,,,,,,[],[],[],[],[],-
18.09.2024,Takahashi Y.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],1.47
18.09.2024,Tanuma R.,0,,,,,,[],[],[],[],[],2.56
11.09.2024,Taguchi R.,2,,,,,,"['3', '3', '5', '3']",[],"['3', '4', '6', '5']",[],[],1.59
11.09.2024,Tanuma R.,1,,,,,,"['1', '0']","['6', '4']","['3', '1']",[],[],2.26
29.08.2024,Park U.,2,,,,,,"['4', '5']","['3', '1']",[],[],[],1.67
29.08.2024,Tanuma R.,0,,,,,,"['3', '1']",[],[],[],[],2.11
27.08.2024,Tanuma R.,2,,,,,,"['2', '0', '4', '0', '6', '0']",[],"['4', '2']",[],[],2.75
27.08.2024,Moriya H.,1,,,,,,[],"['5', '4']",[],[],[],1.41
20.08.2024,Borg L.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0']",[],[],[],1.87
20.08.2024,Tanuma R.,0,,,,,,[],[],[],[],[],1.85
20.12.2023,Shiraishi H.,2,,,,,,[],[],[],[],[],1.62
20.12.2023,Tanuma R.,0,,,,,,[],[],[],[],[],2.20
25.11.2023,Zakharov A.,2,,,,,,[],[],[],[],[],1.30
25.11.2023,Tanuma R.,0,,,,,,[],[],[],[],[],3.28
24.11.2023,Fukuda S.,1,,,,,,[],[],[],[],[],1.59
24.11.2023,Tanuma R.,1,,,,,,[],[],[],[],[],2.24
23.11.2023,Tanuma R.,2,,,,,,[],[],[],[],[],-
23.11.2023,Kawahashi Y.,0,,,,,,[],[],[],[],[],-
23.11.2023,Tanuma R.,2,,,,,,[],[],[],[],[],1.34
23.11.2023,Oplustil P.,0,,,,,,[],[],[],[],[],3.04
20.11.2022,Saitoh K.,0,,,,,,0,2,57%,100% (8/8),67% (4/6),0% (0/0),42% (5/12),75% (3/4),50% (1/2),86% (12/14),50% (8/16),67% (20/30),100% (3/3),50% (1/2),80% (4/5),"['2', '0']",[],[],[],[],2.40
20.11.2022,Tanuma R.,0,,,,,,0,0,75%,58% (7/12),25% (1/4),50% (1/2),0% (0/8),33% (2/6),0% (0/0),50% (8/16),14% (2/14),33% (10/30),50% (1/2),0% (0/3),20% (1/5),[],[],[],[],[],1.53
06.11.2022,Nakagawa N.,2,,,,,,11,3,68%,73% (36/49),43% (10/23),80% (4/5),39% (19/49),50% (9/18),27% (3/11),63% (45/71),42% (28/67),53% (73/138),90% (9/10),33% (3/9),63% (12/19),"['2', '0', '4', '2']","['3', '2']",[],[],[],1.68
06.11.2022,Tanuma R.,0,,,,,,1,0,73%,61% (30/49),50% (9/18),73% (8/11),29% (14/49),57% (13/23),20% (1/5),58% (39/67),37% (26/71),47% (65/138),67% (6/9),10% (1/10),37% (7/19),"['2', '3']",[],[],[],[],2.11
