Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/28,14/28,-,-,-,-
2024,9/11,9/11,-,-,-,-
2023,3/11,3/11,-,-,-,-
2022,2/3,2/3,-,-,-,-
2021,0/1,0/1,-,-,-,-
2020,0/2,0/2,-,-,-,-
