Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,394/288,282/144,18/33,83/89,11/22,-
2024,11/25,8/8,2/10,1/2,0/5,-
2023,29/31,11/10,10/14,5/4,3/3,-
2022,48/27,33/10,2/3,11/9,2/5,-
2021,13/18,12/10,-,0/6,1/2,-
2020,15/10,15/5,0/1,0/4,-,-
2019,48/32,33/18,3/1,11/10,1/3,-
2018,39/28,29/15,1/1,9/10,0/2,-
2017,31/30,21/12,0/1,6/15,4/2,-
2016,46/25,34/14,0/1,12/10,-,-
2015,49/25,30/15,0/1,19/9,-,-
2014,27/15,20/9,-,7/6,-,-
2013,20/11,19/8,-,1/3,-,-
2012,12/8,11/7,-,1/1,-,-
2011,6/3,6/3,-,-,-,-
