Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,188/162,97/72,27/33,61/53,3/4,-
2024,19/15,13/7,6/6,0/2,-,-
2023,22/15,20/13,-,2/2,-,-
2022,29/30,19/13,2/4,7/10,1/3,-
2021,30/30,10/13,4/6,14/10,2/1,-
2020,13/17,1/2,5/9,7/6,-,-
2019,42/22,22/13,2/1,18/8,-,-
2018,26/16,8/5,7/4,11/7,-,-
2017,5/7,4/3,0/1,1/3,-,-
2016,1/6,0/2,0/1,1/3,-,-
2015,1/3,0/1,1/1,0/1,-,-
2014,0/1,-,-,0/1,-,-
