Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,344/260,252/180,54/39,36/39,1/2,1/0
2024,37/18,37/18,-,-,-,-
2023,26/23,20/17,-,6/6,-,-
2022,27/14,24/10,2/1,1/3,-,-
2021,14/8,11/6,3/1,0/1,-,-
2020,0/1,0/1,-,-,-,-
2019,22/32,21/26,1/1,0/5,-,-
2018,30/35,20/18,5/8,3/7,1/2,1/0
2017,54/23,41/14,6/5,7/4,-,-
2016,63/27,29/15,17/5,17/7,-,-
2015,13/23,4/8,7/10,2/5,-,-
2014,30/25,17/17,13/7,0/1,-,-
2013,12/13,12/13,-,-,-,-
2012,6/8,6/7,0/1,-,-,-
2011,8/8,8/8,-,-,-,-
2010,2/2,2/2,-,-,-,-
