Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
03.07.,Rodriguez L. J.,2,,,,,,"['2', '1']","['2', '2', '4', '4', '7', '5']","['1', '1', '4', '2']",[],[],2.09
03.07.,Aguilar Cardozo J.,1,,,,,,"['2', '2']","['1', '0', '4', '3']","['1', '0']",[],[],1.68
02.07.,Aguilar Cardozo J.,2,,,,,,"['4', '2', '6', '4']","['1', '1', '3', '1', '5', '1']",[],[],[],-
02.07.,Berta M.,0,,,,,,"['3', '4']","['1', '0']",[],[],[],21.00
10.06.,Rodriguez Taverna S.,2,,,,,,2,2,64%,72% (34/47),44% (12/27),63% (5/8),49% (17/35),52% (12/23),56% (5/9),62% (46/74),50% (29/58),57% (75/132),8,0,73% (8/11),50% (5/10),62% (13/21),"['2', '2', '7', '5']","['1', '1', '2', '2', '5', '3']",[],[],[],1.27
10.06.,Aguilar Cardozo J.,0,,,,,,0,1,60%,51% (18/35),48% (11/23),44% (4/9),28% (13/47),56% (15/27),38% (3/8),50% (29/58),38% (28/74),43% (57/132),2,0,50% (5/10),27% (3/11),38% (8/21),"['2', '1']","['1', '0', '2', '1']",[],[],[],3.54
09.06.,Aguilar Cardozo J.,2,,,,,,2,3,57%,74% (26/35),54% (14/26),89% (8/9),44% (15/34),58% (11/19),44% (4/9),66% (40/61),49% (26/53),58% (66/114),5,0,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '4', '1']","['2', '1', '4', '3']",[],[],[],1.26
09.06.,Kohlmann E.,0,,,,,,1,1,64%,56% (19/34),42% (8/19),56% (5/9),26% (9/35),46% (12/26),11% (1/9),51% (27/53),34% (21/61),42% (48/114),5,4,56% (5/9),11% (1/9),33% (6/18),[],"['2', '2']",[],[],[],3.63
08.06.,Aguilar Cardozo J.,2,,,,,,0,2,62%,51% (25/49),47% (14/30),62% (8/13),50% (29/58),60% (15/25),47% (7/15),48% (37/77),53% (44/83),51% (81/160),8,0,55% (6/11),64% (7/11),59% (13/22),"['1', '1', '3', '1', '6', '4']","['1', '1', '2', '4', '4', '4', '7', '5']",[],[],[],1.54
08.06.,Estevez J.,0,,,,,,0,0,70%,50% (29/58),40% (10/25),53% (8/15),49% (24/49),53% (16/30),38% (5/13),47% (39/83),52% (40/77),49% (79/160),2,1,36% (4/11),45% (5/11),41% (9/22),"['1', '0', '4', '5']","['1', '0', '2', '1', '4', '1']",[],[],[],2.38
28.05.,Reis Da Silva J.,2,,,,,,"['3', '3', '5', '3']",[],"['4', '4', '6', '4']",[],[],1.41
28.05.,Aguilar Cardozo J.,1,,,,,,"['1', '0']","['2', '0', '4', '0']","['4', '3']",[],[],2.73
27.05.,Aguilar Cardozo J.,2,,,,,,"['1', '1', '3', '1', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.67
27.05.,Zanellato N.,0,,,,,,"['1', '0', '3', '4']",[],[],[],[],2.10
21.05.,Boscardin Dias P.,2,,,,,,"['2', '1', '6', '3']","['5', '3']",[],[],[],1.45
21.05.,Aguilar Cardozo J.,0,,,,,,[],[],[],[],[],2.59
20.05.,Aguilar Cardozo J.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.07
20.05.,Alvarado Berrospi A. O.,0,,,,,,[],[],[],[],[],6.65
22.04.,Monzon I.,2,,,,,,0,2,87%,58% (43/74),36% (4/11),29% (2/7),41% (21/51),60% (18/30),56% (5/9),55% (47/85),48% (39/81),52% (86/166),6,0,62% (8/13),42% (5/12),52% (13/25),"['1', '1', '3', '1', '5', '3']",[],"['2', '0', '4', '0']",[],[],2.77
22.04.,Aguilar Cardozo J.,1,,,,,,2,0,63%,59% (30/51),40% (12/30),44% (4/9),42% (31/74),64% (7/11),71% (5/7),52% (42/81),45% (38/85),48% (80/166),4,0,58% (7/12),38% (5/13),48% (12/25),"['1', '0', '2', '3']","['2', '0', '4', '0']","['1', '4']",[],[],1.41
21.04.,Aguilar Cardozo J.,2,,,,,,0,0,69%,66% (31/47),52% (11/21),25% (1/4),45% (20/44),60% (12/20),56% (5/9),62% (42/68),50% (32/64),56% (74/132),7,0,70% (7/10),50% (5/10),60% (12/20),"['1', '2', '3', '2', '5', '2']","['2', '3', '6', '5']",[],[],[],1.64
21.04.,De La Fuente S.,0,,,,,,0,1,69%,55% (24/44),40% (8/20),44% (4/9),34% (16/47),48% (10/21),75% (3/4),50% (32/64),38% (26/68),44% (58/132),3,1,50% (5/10),30% (3/10),40% (8/20),"['2', '0']","['3', '1', '6', '6']",[],[],[],2.17
04.04.,La Serna J. M.,2,,,,,,"['2', '0', '4', '2']","['2', '0', '5', '5']","['4', '3', '6', '3']",[],[],2.04
04.04.,Aguilar Cardozo J.,1,,,,,,"['2', '3', '4', '5', '6', '5']","['3', '4', '5', '4']",[],[],[],1.69
03.04.,Aguilar Cardozo J.,2,,,,,,"['2', '0']","['1', '0', '3', '0', '6', '3']",[],[],[],1.33
03.04.,Zeitune M.,0,,,,,,[],"['2', '4']",[],[],[],3.09
02.04.,Aguilar Cardozo J.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '3', '4', '3', '6', '3']",[],[],[],1.11
02.04.,Simonit E.,0,,,,,,[],"['1', '1', '3', '1']",[],[],[],5.45
27.03.,Midon L.,2,,,,,,"['1', '1']","['2', '0', '5', '3']","['3', '2', '5', '2']",[],[],1.19
27.03.,Aguilar Cardozo J.,1,,,,,,"['1', '0', '2', '1', '4', '1']","['1', '2', '4', '5']",[],[],[],4.24
26.03.,Aguilar Cardozo J.,2,,,,,,"['1', '0', '6', '5']","['4', '3']",[],[],[],1.23
26.03.,Hess S.,0,,,,,,"['5', '5']",[],[],[],[],3.81
22.03.,Rodrigues P.,2,,,,,,[],"['4', '5']","['2', '0', '4', '0', '6', '0']",[],[],2.28
22.03.,Aguilar Cardozo J.,1,,,,,,"['2', '1', '6', '3']","['2', '0']",[],[],[],1.57
21.03.,Aguilar Cardozo J.,2,,,,,,"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '2']","['2', '1', '4', '1', '6', '3']",[],[],1.35
21.03.,Goncalves V.,1,,,,,,"['1', '5']","['1', '0', '4', '3', '6', '3']","['2', '4']",[],[],2.99
20.03.,Aguilar Cardozo J.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['2', '0', '4', '0', '5', '1']",[],[],[],1.21
20.03.,Cundom J.,0,,,,,,"['2', '2']","['1', '4', '2', '5']",[],[],[],4.04
13.03.,Rodriguez Taverna S.,2,,,,,,[],"['3', '1', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],1.31
13.03.,Aguilar Cardozo J.,1,,,,,,[],[],"['2', '2']",[],[],3.20
12.03.,Aguilar Cardozo J.,2,,,,,,"['1', '0']","['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],1.19
12.03.,Escurra Isnardi H. J.,1,,,,,,"['2', '2']",[],[],[],[],4.28
20.02.,Rodriguez Taverna S.,2,,,,,,"['1', '1', '6', '4']","['1', '1', '3', '1', '6', '2']",[],[],[],1.32
