Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,521/343,165/106,214/146,91/45,40/32,11/14
2024,10/18,1/4,8/12,-,0/1,1/1
2023,42/16,8/4,31/10,-,3/2,-
2022,25/14,8/4,8/7,0/1,9/2,-
2021,30/17,2/2,10/10,15/5,3/0,-
2020,15/7,7/2,8/5,-,-,-
2019,14/15,2/4,10/6,-,2/4,0/1
2018,30/19,3/3,23/12,0/1,3/2,1/1
2017,22/25,3/5,11/13,2/1,5/4,1/2
2016,28/20,4/5,16/10,3/2,1/3,4/0
2015,35/21,2/3,29/12,2/1,1/4,1/1
2014,44/26,14/11,18/9,6/4,6/2,-
2013,26/27,7/7,14/11,1/2,4/4,0/3
2012,30/27,10/9,9/10,9/5,0/1,2/2
2011,44/25,21/8,6/10,13/2,3/2,1/3
2010,41/24,16/11,4/5,21/7,0/1,-
2009,26/16,16/5,4/2,6/9,-,-
2008,40/14,26/10,3/1,11/3,-,-
2007,19/12,15/9,2/1,2/2,-,-
