Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,443/285,190/112,167/107,62/46,19/17,5/3
2024,15/20,4/8,6/8,4/1,0/2,1/1
2023,31/21,16/6,5/9,2/2,7/3,1/1
2022,38/17,20/8,4/3,9/4,3/2,2/0
2021,20/19,7/6,7/7,6/5,0/1,-
2020,7/8,2/2,4/3,0/2,-,1/1
2019,38/23,11/8,15/10,9/4,3/1,-
2018,26/24,6/5,16/13,4/5,0/1,-
2017,31/30,11/10,17/13,2/6,1/1,-
2016,30/15,14/5,11/5,1/2,4/3,-
2015,38/20,21/10,3/3,13/4,1/3,-
2014,34/14,15/8,14/5,5/1,-,-
2013,46/12,19/6,27/5,0/1,-,-
2012,32/19,8/4,19/11,5/4,-,-
2011,32/15,21/9,11/5,0/1,-,-
2010,8/10,1/3,6/5,1/2,-,-
2009,6/8,4/6,2/2,-,-,-
2008,5/6,5/5,-,0/1,-,-
2007,6/4,5/3,-,1/1,-,-
