Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,48/43,23/27,9/11,-,-,16/5
2024,9/14,4/9,3/3,-,-,2/2
2023,18/12,10/7,1/3,-,-,7/2
2022,8/3,1/1,0/1,-,-,7/1
2021,9/5,5/2,4/3,-,-,-
2015,1/5,0/4,1/1,-,-,-
2014,2/2,2/2,-,-,-,-
2013,1/2,1/2,-,-,-,-
