Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,359/239,166/114,161/95,11/16,0/1,21/13
2024,41/19,24/13,12/5,0/1,-,5/0
2023,53/22,21/12,22/9,-,-,10/1
2022,21/8,7/3,13/5,-,-,1/0
2021,20/31,4/15,14/12,1/2,0/1,1/1
2020,32/29,5/7,20/17,6/4,-,1/1
2019,34/33,15/17,15/8,4/7,-,0/1
2018,34/26,20/12,13/11,0/1,-,1/2
2017,36/16,22/9,14/6,-,-,0/1
2016,24/8,21/6,3/1,-,-,0/1
2015,11/7,-,11/4,0/1,-,0/2
2014,9/4,5/2,4/2,-,-,-
2013,16/10,15/9,-,-,-,1/1
2012,6/11,4/8,1/1,-,-,1/2
2011,21/14,3/1,18/13,-,-,-
2010,1/1,-,1/1,-,-,-
