Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,19/20,19/19,0/1,-,-,-
2024,5/6,5/6,-,-,-,-
2023,3/8,3/8,-,-,-,-
2022,10/3,10/2,0/1,-,-,-
2021,1/3,1/3,-,-,-,-
