Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,320/210,49/37,200/111,55/40,12/12,4/10
2024,33/14,-,22/10,9/3,2/1,-
2023,25/8,-,20/5,5/3,-,-
2022,19/33,0/2,6/13,11/9,2/4,0/5
2021,29/25,2/7,23/12,4/5,0/1,-
2020,6/12,2/5,1/4,0/2,-,3/1
2019,37/25,3/1,29/13,4/3,1/4,0/4
2018,56/25,11/4,36/17,2/2,7/2,-
2017,23/13,11/4,12/9,-,-,-
2016,31/14,6/1,21/10,4/3,-,-
2015,31/14,5/4,16/7,9/3,-,1/0
2014,18/13,6/4,7/4,5/5,-,-
2013,9/9,0/1,7/6,2/2,-,-
2012,3/5,3/4,0/1,-,-,-
