Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.08.2024,Hijikata R.,2,,,,,,2,1,68%,76% (19/25),75% (9/12),0% (0/0),50% (16/32),64% (14/22),60% (6/10),12,5,50% (4/8),75% (24/32),58% (34/59),64% (58/91),7,0,100% (6/6),75% (6/8),86% (12/14),"['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],-
11.08.2024,Angele J. F.,0,,,,,,5,8,59%,50% (16/32),36% (8/22),40% (4/10),24% (6/25),25% (3/12),0% (0/0),17,16,53% (9/17),42% (25/59),25% (8/32),36% (33/91),3,1,25% (2/8),0% (0/6),14% (2/14),[],[],[],[],[],-
24.04.2024,Lee M.,1,,,,,,"['2', '0', '6', '2']",[],[],[],[],-
24.04.2024,Angele J. F.,0,,,,,,[],[],[],[],[],-
21.03.2024,Masjuan Ginel P.,2,,,,,,[],"['2', '0', '4', '0']",[],[],[],-
21.03.2024,Angele J. F.,0,,,,,,[],[],[],[],[],-
20.03.2024,Angele J. F.,2,,,,,,"['3', '1']","['1', '0']",[],[],[],-
20.03.2024,Rajesh N.,0,,,,,,[],[],[],[],[],-
21.02.2024,Heck H.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],2.16
21.02.2024,Angele J. F.,0,,,,,,[],[],[],[],[],1.64
13.02.2024,Kodat T.,2,,,,,,"['3', '2']","['2', '1', '4', '5']",[],[],[],1.34
13.02.2024,Angele J. F.,0,,,,,,[],"['2', '2', '5', '3']",[],[],[],3.05
28.01.2024,Brady P.,2,,,,,,2,6,68%,73% (29/40),47% (9/19),50% (2/4),47% (16/34),50% (14/28),50% (4/8),64% (38/59),48% (30/62),56% (68/121),7,0,33% (3/9),90% (9/10),63% (12/19),"['1', '0', '2', '1', '3', '2', '5', '2', '6', '3']","['2', '3', '3', '4', '5', '4']",[],[],[],1.46
