Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/42,4/23,11/17,-,0/2,-
2024,3/13,2/8,1/3,-,0/2,-
2023,5/18,1/11,4/7,-,-,-
2022,6/8,1/4,5/4,-,-,-
2021,1/3,-,1/3,-,-,-
