Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,53/83,21/26,28/46,2/5,-,2/6
2024,10/18,3/6,6/11,1/1,-,-
2023,18/24,7/8,10/12,0/1,-,1/3
2022,12/19,7/6,3/9,1/1,-,1/3
2021,8/12,0/1,8/10,0/1,-,-
2020,2/2,2/2,-,-,-,-
2018,1/3,-,1/3,-,-,-
2017,2/5,2/3,0/1,0/1,-,-
