Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,76/102,76/101,0/1,-,-,-
2024,17/20,17/20,-,-,-,-
2023,30/22,30/22,-,-,-,-
2022,16/25,16/25,-,-,-,-
2021,6/20,6/20,-,-,-,-
2020,7/11,7/11,-,-,-,-
2018,0/4,0/3,0/1,-,-,-
