Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,618/520,136/154,354/222,120/125,4/6,4/13
2024,26/19,10/8,12/7,4/4,-,-
2023,21/28,-,13/14,8/14,-,-
2022,36/31,1/4,29/16,5/9,-,1/2
2021,14/27,3/10,3/9,8/7,0/1,-
2020,8/12,2/3,1/3,3/5,-,2/1
2019,38/29,4/6,25/12,7/7,1/2,1/2
2018,51/26,17/10,25/10,9/6,-,-
2017,38/25,7/9,22/10,9/6,-,-
2016,34/29,6/11,19/12,8/5,1/1,-
2015,38/28,5/12,16/7,17/8,-,0/1
2014,23/31,10/9,8/10,5/10,-,0/2
2013,39/26,9/4,19/13,11/7,-,0/2
2012,25/26,16/14,2/5,6/6,1/1,-
2011,28/23,6/5,22/17,0/1,-,-
2010,33/21,6/8,27/13,-,-,-
2009,24/24,3/5,14/8,7/11,-,-
2008,36/27,7/7,24/12,4/4,1/1,0/3
2007,15/22,1/5,14/15,0/2,-,-
2006,34/23,6/6,25/12,3/5,-,-
2005,29/18,7/9,19/7,3/2,-,-
2004,6/8,2/2,4/4,0/2,-,-
2003,15/10,6/5,9/4,0/1,-,-
2002,7/7,2/2,2/2,3/3,-,-
