Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,710/422,636/369,69/50,5/3,-,-
2024,41/27,36/25,5/2,-,-,-
2023,31/28,24/27,7/1,-,-,-
2022,25/37,24/34,1/3,-,-,-
2021,46/21,44/20,2/1,-,-,-
2020,14/6,14/6,-,-,-,-
2019,27/16,27/16,-,-,-,-
2018,26/20,26/19,0/1,-,-,-
2017,61/26,58/25,3/1,-,-,-
2016,29/15,29/15,-,-,-,-
2015,39/22,30/17,9/5,-,-,-
2014,39/29,37/28,2/1,-,-,-
2013,33/26,28/20,5/6,-,-,-
2012,33/24,33/22,0/2,-,-,-
2011,24/22,19/14,5/8,-,-,-
2010,61/24,47/19,14/5,-,-,-
2009,31/17,27/12,4/5,-,-,-
2008,42/21,33/16,9/5,-,-,-
2007,74/22,67/18,2/1,5/3,-,-
2006,10/3,10/3,-,-,-,-
2005,17/10,16/8,1/2,-,-,-
2004,6/5,6/4,0/1,-,-,-
2003,1/1,1/1,-,-,-,-
