Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,94/86,83/72,11/14,-,-,-
2024,37/24,35/22,2/2,-,-,-
2023,34/29,34/26,0/3,-,-,-
2022,12/14,9/11,3/3,-,-,-
2021,11/18,5/13,6/5,-,-,-
2018,0/1,-,0/1,-,-,-
