Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES :  M15 Bologna (Italy),clay,header
09.09.2024,Erhard M.,1,5,6,5,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '1', '5', '2']","['1', '0', '4', '3']",[],[],1.32
09.09.2024,Piraino G.,2,7,2,7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['7', '5']",[],"['1', '1', '4', '4', '7', '5']",[],[],3.18
07.09.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '5', '2']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.51
07.09.2024,Pecci A.,0,2,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['1', '3']",[],[],[],2.45
06.09.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '3', '2', '5', '2', '6', '3']","['3', '1', '5', '1', '6', '2']",[],[],[],1.11
06.09.2024,Ciavarella N.,0,3,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '3', '5']","['2', '5']",[],[],[],5.88
05.09.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '4', '1', '6', '1']","['2', '0', '3', '1', '4', '2', '6', '2']",[],[],[],1.14
05.09.2024,Malgaroli L.,0,1,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['1', '2', '2', '3']",[],[],[],5.14
04.09.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '4', '3', '6', '3']","['2', '0', '6', '2']",[],[],[],1.18
04.09.2024,Bilardo J.,0,3,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1']",[],[],[],[],4.51
ITF MEN - SINGLES :  M15 Bucharest 5 (Romania),clay,header
30.08.2024,Erhard M.,1,1,6,5,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '0']","['1', '0', '2', '1', '3', '2', '5', '4']",[],[],1.19
30.08.2024,Gima S.,2,6,3,7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1', '5', '1']",[],"['1', '1', '2', '2', '3', '3', '5', '5', '7', '5']",[],[],4.30
29.08.2024,Erhard M.,2,6,2,7^7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '5', '1']",[],"['3', '4', '4', '5']",[],[],1.03
29.08.2024,Pieleanu R. T.,1,1,6,6^1,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['3', '1', '6', '2']","['4', '2', '5', '3']",[],[],9.80
28.08.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1', '4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.07
28.08.2024,Radu C.,0,3,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '3']",[],[],[],[],7.12
ITF MEN - SINGLES :  M25 Brazzaville 2 (Republic of the Congo),clay,header
11.08.2024,Erhard M.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '2', '6', '2']","['7', '5']",[],[],[],1.83
11.08.2024,Oliveira G.,0,2,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],1.89
10.08.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '5', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.09
10.08.2024,Javia D.,0,1,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],6.58
09.08.2024,Erhard M.,1,6,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '3', '6', '3']","['2', '0']",[],[],[],1.07
09.08.2024,Dev S D P.,0,3,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],7.50
08.08.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '4', '3']","['2', '1']",[],[],[],1.06
08.08.2024,Szymkowiak K.,0,4,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '3']",[],[],[],[],7.90
07.08.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],0
07.08.2024,Walia D.,0,0,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],13.50
ITF MEN - SINGLES :  M25 Brazzaville (Republic of the Congo),clay,header
03.08.2024,Erhard M.,0,5,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],1.45
03.08.2024,Artnak B.,2,7,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['7', '5']","['2', '0', '5', '1']",[],[],[],2.62
02.08.2024,Erhard M.,2,6,7^7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '2']","['6', '5']",[],[],[],1.06
02.08.2024,Dev S D P.,0,3,6^5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['6', '6']",[],[],[],7.80
01.08.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.01
01.08.2024,Ananth Mani M.,0,0,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],13.10
31.07.2024,Erhard M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],0
31.07.2024,Miessen E.,0,1,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],28.00
CHALLENGER MEN - SINGLES :  Tampere (Finland),clay,header
22.07.2024,Erhard M.,1,4,6,6^5,,,4,6,60%,73% (49/67),42% (19/45),82% (14/17),20% (12/59),64% (28/44),44% (4/9),6,61% (68/112),39% (40/103),50% (108/215),5,80% (12/15),27% (4/15),53% (16/30),[],"['1', '1', '3', '1', '6', '2']","['2', '0']",[],[],2.06
22.07.2024,Hemery C.,2,6,2,7^7,,,8,9,57%,80% (47/59),36% (16/44),56% (5/9),27% (18/67),58% (26/45),18% (3/17),7,61% (63/103),39% (44/112),50% (107/215),4,73% (11/15),20% (3/15),47% (14/30),"['5', '4']","['1', '0']","['4', '5']",[],[],1.71
CHALLENGER MEN - SINGLES :  Amersfoort (Netherlands),clay,header
17.07.2024,Erhard M.,1,3,6,3,,,3,1,63%,61% (39/64),54% (20/37),75% (9/12),33% (22/66),39% (9/23),50% (2/4),6,58% (58/100),35% (31/89),47% (89/189),3,77% (10/13),14% (2/14),44% (12/27),"['1', '0']","['2', '0']",[],[],[],2.47
17.07.2024,Andreev A.,2,6,3,6,,,3,1,74%,67% (44/66),61% (14/23),50% (2/4),39% (25/64),46% (17/37),25% (3/12),8,65% (58/89),42% (42/100),53% (100/189),5,86% (12/14),23% (3/13),56% (15/27),"['2', '2', '4', '2']",[],"['5', '3']",[],[],1.51
CHALLENGER MEN - SINGLES :  Amersfoort (Netherlands) - Qualification,clay,header
15.07.2024,Erhard M.,2,5,6,7^7,,,8,1,69%,66% (46/70),42% (13/31),60% (9/15),39% (26/67),67% (29/43),47% (8/17),7,58% (59/101),50% (55/110),54% (114/211),4,60% (9/15),50% (8/16),55% (17/31),"['1', '0', '3', '2']","['1', '0', '3', '0', '6', '1']","['3', '3', '4', '4', '5', '5']",[],[],2.16
15.07.2024,Moeller E.,1,7,1,6^3,,,3,8,61%,61% (41/67),33% (14/43),53% (9/17),34% (24/70),58% (18/31),40% (6/15),5,50% (55/110),42% (42/101),46% (97/211),3,50% (8/16),40% (6/15),45% (14/31),"['2', '2', '4', '4', '7', '5']",[],"['2', '1', '4', '3', '5', '4']",[],[],1.66
14.07.2024,Erhard M.,2,6,7^12,,,,3,3,63%,71% (34/48),50% (14/28),50% (2/4),33% (16/49),56% (14/25),100% (3/3),5,63% (48/76),41% (30/74),52% (78/150),3,82% (9/11),27% (3/11),55% (12/22),"['2', '0', '6', '4']","['5', '3']",[],[],[],1.74
14.07.2024,Nijboer R.,0,4,6^10,,,,2,4,66%,67% (33/49),44% (11/25),0% (0/3),29% (14/48),50% (14/28),50% (2/4),5,59% (44/74),37% (28/76),48% (72/150),3,73% (8/11),18% (2/11),45% (10/22),"['2', '3']","['4', '5']",[],[],[],2.02
ITF MEN - SINGLES :  M25 The Hague (Netherlands),clay,header
CHALLENGER MEN - SINGLES :  Troyes (France),clay,header
04.07.2024,Erhard M.,0,4,3,,,,0,3,55%,53% (17/32),42% (11/26),44% (4/9),20% (7/35),64% (18/28),38% (3/8),5,48% (28/58),40% (25/63),44% (53/121),2,44% (4/9),30% (3/10),37% (7/19),"['4', '5']","['1', '0', '2', '1']",[],[],[],2.84
04.07.2024,Skatov T.,2,6,6,,,,5,6,56%,80% (28/35),36% (10/28),63% (5/8),47% (15/32),58% (15/26),56% (5/9),6,60% (38/63),52% (30/58),56% (68/121),4,70% (7/10),56% (5/9),63% (12/19),"['3', '1', '6', '4']","['1', '1', '2', '2', '4', '2']",[],[],[],1.40
03.07.2024,Erhard M.,2,3,6,6,,,2,6,64%,69% (40/58),50% (16/32),70% (7/10),33% (11/33),59% (19/32),83% (5/6),8,62% (56/90),46% (30/65),55% (86/155),5,77% (10/13),42% (5/12),60% (15/25),"['2', '4']","['1', '0', '5', '2']","['1', '0', '5', '2']",[],[],1.20
03.07.2024,Rivet M.,1,6,2,2,,,3,3,51%,67% (22/33),41% (13/32),17% (1/6),31% (18/58),50% (16/32),30% (3/10),8,54% (35/65),38% (34/90),45% (69/155),4,58% (7/12),23% (3/13),40% (10/25),"['1', '0', '3', '0', '6', '3']",[],[],[],[],4.26
CHALLENGER MEN - SINGLES :  Milan (Italy) - Qualification,clay,header
24.06.2024,Erhard M.,1,6,3,6^6,,,1,1,69%,66% (43/65),52% (15/29),43% (3/7),31% (22/70),57% (12/21),67% (4/6),6,62% (58/94),37% (34/91),50% (92/185),3,73% (11/15),27% (4/15),50% (15/30),"['2', '0']","['1', '2', '3', '4']","['3', '3']",[],[],1.59
24.06.2024,Debru G.,2,3,6,7^8,,,0,3,77%,69% (48/70),43% (9/21),33% (2/6),34% (22/65),48% (14/29),57% (4/7),5,63% (57/91),38% (36/94),50% (93/185),4,73% (11/15),27% (4/15),50% (15/30),[],"['2', '0', '4', '2', '5', '3']","['1', '0']",[],[],2.24
24.06.2024,Erhard M.,2,6,3,6,,,6,5,52%,72% (34/47),51% (22/43),63% (5/8),38% (28/73),49% (21/43),25% (4/16),5,62% (56/90),42% (49/116),51% (105/206),4,79% (11/14),29% (4/14),54% (15/28),"['3', '2', '5', '2']",[],"['2', '0', '4', '2']",[],[],2.66
24.06.2024,Basilashvili N.,1,4,6,3,,,4,4,63%,62% (45/73),51% (22/43),75% (12/16),28% (13/47),49% (21/43),38% (3/8),7,58% (67/116),38% (34/90),49% (101/206),3,71% (10/14),21% (3/14),46% (13/28),"['3', '5']","['3', '1']","['2', '3']",[],[],1.45
CHALLENGER MEN - SINGLES :  Lyon (France) - Qualification,clay,header
09.06.2024,Erhard M.,0,5,4,,,,2,1,63%,62% (24/39),43% (10/23),20% (1/5),22% (9/41),54% (15/28),29% (2/7),6,55% (34/62),35% (24/69),44% (58/131),3,64% (7/11),18% (2/11),41% (9/22),"['3', '4']","['4', '5']",[],[],[],3.43
09.06.2024,Collignon R.,2,7,6,,,,5,4,59%,78% (32/41),46% (13/28),71% (5/7),38% (15/39),57% (13/23),80% (4/5),12,65% (45/69),45% (28/62),56% (73/131),3,82% (9/11),36% (4/11),59% (13/22),"['3', '1', '7', '5']","['4', '2', '6', '4']",[],[],[],1.29
CHALLENGER MEN - SINGLES :  Zagreb (Croatia),clay,header
06.06.2024,Erhard M.,0,3,2,,,,0,1,68%,46% (13/28),38% (5/13),0% (0/5),34% (15/44),55% (11/20),22% (2/9),4,44% (18/41),41% (26/64),42% (44/105),1,38% (3/8),22% (2/9),29% (5/17),"['1', '0', '2', '3']",[],[],[],[],2.69
06.06.2024,Hardt N.,2,6,6,,,,0,3,69%,66% (29/44),45% (9/20),78% (7/9),54% (15/28),62% (8/13),100% (5/5),5,59% (38/64),56% (23/41),58% (61/105),5,78% (7/9),63% (5/8),71% (12/17),"['1', '1', '3', '1', '4', '2']","['2', '1', '4', '1']",[],[],[],1.44
05.06.2024,Erhard M.,2,7,6,,,,3,2,71%,69% (27/39),63% (10/16),50% (1/2),46% (16/35),41% (9/22),44% (4/9),7,67% (37/55),44% (25/57),55% (62/112),5,90% (9/10),40% (4/10),65% (13/20),"['1', '0', '6', '5']","['1', '0', '4', '1']",[],[],[],3.03
05.06.2024,Rincon D.,0,5,2,,,,4,3,61%,54% (19/35),59% (13/22),56% (5/9),31% (12/39),38% (6/16),50% (1/2),8,56% (32/57),33% (18/55),45% (50/112),3,60% (6/10),10% (1/10),35% (7/20),"['2', '2']",[],[],[],[],1.36
