Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,441/261,202/114,162/86,71/57,6/4,-
2024,32/17,12/6,20/11,-,-,-
2023,32/26,7/6,12/10,7/6,6/4,-
2022,59/22,27/7,26/10,6/5,-,-
2021,23/21,9/8,14/12,0/1,-,-
2020,8/4,-,6/4,2/0,-,-
2019,42/18,22/12,19/5,1/1,-,-
2018,25/23,7/11,16/8,2/4,-,-
2017,27/22,9/12,7/3,11/7,-,-
2016,48/18,35/9,1/4,12/5,-,-
2015,10/12,0/1,7/4,3/7,-,-
2014,62/36,34/23,12/2,16/11,-,-
2013,51/22,31/13,17/7,3/2,-,-
2012,12/9,2/2,4/3,6/4,-,-
2011,10/10,7/4,1/2,2/4,-,-
2010,0/1,-,0/1,-,-,-
