Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,6/7,4/4,-,-,-,2/3
2024,1/2,1/2,-,-,-,-
2023,2/3,-,-,-,-,2/3
2021,3/2,3/2,-,-,-,-
