Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,59/66,16/18,43/48,-,-,-
2024,12/13,3/4,9/9,-,-,-
2023,16/19,10/8,6/11,-,-,-
2022,21/20,0/2,21/18,-,-,-
2021,6/11,1/3,5/8,-,-,-
2020,4/3,2/1,2/2,-,-,-
