Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.05.,Ramanathan R.,2,,,,,,5,2,61%,84% (26/31),50% (10/20),0% (0/1),33% (14/42),57% (8/14),75% (3/4),71% (36/51),39% (22/56),54% (58/107),6,0,90% (9/10),30% (3/10),60% (12/20),"['1', '2', '4', '3']","['2', '1']",[],[],[],1.02
26.05.,Ganta S. K. R.,0,,,,,,3,1,75%,67% (28/42),43% (6/14),25% (1/4),16% (5/31),50% (10/20),100% (1/1),61% (34/56),29% (15/51),46% (49/107),4,0,70% (7/10),10% (1/10),40% (8/20),"['2', '0']",[],[],[],[],10.20
08.01.,Ogura K.,2,,,,,,"['4', '5']","['1', '0']","['6', '5']",[],[],1.40
08.01.,Ganta S. K. R.,1,,,,,,"['4', '2', '7', '5']",[],[],[],[],2.77
17.11.2024,Kirchheimer S.,2,,,,,,4,2,67%,87% (27/31),67% (10/15),100% (1/1),37% (11/30),59% (13/22),50% (3/6),80% (37/46),46% (24/52),62% (61/98),7,0,100% (9/9),38% (3/8),71% (12/17),"['3', '1']","['1', '0', '5', '2']",[],[],[],-
17.11.2024,Ganta S. K. R.,0,,,,,,2,3,58%,63% (19/30),41% (9/22),50% (3/6),13% (4/31),33% (5/15),0% (0/1),54% (28/52),20% (9/46),38% (37/98),3,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],-
27.10.2024,Sim S.,2,,,,,,7,4,46%,80% (24/30),51% (18/35),0% (0/2),45% (25/55),44% (8/18),50% (3/6),62% (29/47),51% (27/53),56% (56/100),5,0,75% (6/8),43% (3/7),60% (9/15),[],[],[],[],[],-
27.10.2024,Ganta S. K. R.,0,,,,,,2,0,75%,55% (30/55),56% (10/18),50% (3/6),20% (6/30),49% (17/35),100% (2/2),49% (26/53),38% (18/47),44% (44/100),5,2,57% (4/7),25% (2/8),40% (6/15),[],[],[],[],[],-
20.10.2024,Sim S.,2,,,,,,7,7,55%,67% (34/51),61% (25/41),33% (2/6),32% (23/73),63% (19/30),63% (5/8),64% (59/92),41% (42/103),52% (101/195),6,0,73% (11/15),31% (5/16),52% (16/31),"['4', '3', '6', '3']","['3', '1']","['2', '0', '5', '3']",[],[],-
20.10.2024,Ganta S. K. R.,1,,,,,,2,3,71%,68% (50/73),37% (11/30),38% (3/8),33% (17/51),39% (16/41),67% (4/6),59% (61/103),36% (33/92),48% (94/195),4,1,69% (11/16),27% (4/15),48% (15/31),[],"['3', '4', '5', '4']","['1', '2', '4', '5']",[],[],-
03.10.2024,Steiner M.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.06
03.10.2024,Ganta S. K. R.,0,,,,,,[],[],[],[],[],7.60
02.10.2024,Ganta S. K. R.,1,,,,,,"['1', '0', '3', '0', '6', '1']",[],[],[],[],2.77
02.10.2024,Kalyanpur A.,0,,,,,,[],[],[],[],[],1.40
25.09.2024,Denolly C.,2,,,,,,"['2', '0', '4', '2', '7', '5']","['3', '1']",[],[],[],1.03
25.09.2024,Ganta S. K. R.,0,,,,,,"['1', '2', '3', '4']",[],[],[],[],9.40
10.09.2024,Genier T.,2,,,,,,"['5', '3', '7', '5']","['4', '2']",[],[],[],1.28
10.09.2024,Ganta S. K. R.,0,,,,,,"['4', '5']",[],[],[],[],3.43
04.09.2024,Xu W.,2,,,,,,[],"['6', '4']","['3', '1', '5', '1']",[],[],1.27
04.09.2024,Ganta S. K. R.,1,,,,,,"['4', '3']",[],[],[],[],3.51
28.08.2024,Navasirisomboon J.,2,,,,,,"['1', '3', '4', '4']","['7', '5']","['6', '4']",[],[],1.12
28.08.2024,Ganta S. K. R.,1,,,,,,"['1', '0', '3', '0', '6', '5']",[],[],[],[],5.67
25.07.2024,Bakshi A.,2,,,,,,"['4', '2']","['5', '4']",[],[],[],1.04
25.07.2024,Ganta S. K. R.,0,,,,,,[],[],[],[],[],8.90
24.07.2024,Ganta S. K. R.,2,,,,,,"['2', '0']",[],"['2', '1', '5', '2']",[],[],3.86
24.07.2024,Denisov I.,1,,,,,,[],"['4', '2', '6', '2']",[],[],[],1.23
14.07.2024,Lobanov A.,2,,,,,,8,7,61%,79% (62/78),61% (30/49),80% (4/5),27% (25/94),43% (16/37),33% (1/3),72% (92/127),31% (41/131),51% (132/258),5,3,94% (17/18),6% (1/18),50% (18/36),[],[],"['3', '2']",[],[],1.12
14.07.2024,Ganta S. K. R.,1,,,,,,20,3,72%,73% (69/94),57% (21/37),67% (2/3),21% (16/78),39% (19/49),20% (1/5),69% (90/131),28% (35/127),48% (125/258),5,3,94% (17/18),6% (1/18),50% (18/36),[],[],"['4', '4']",[],[],5.72
03.03.2024,Watanabe S.,2,,,,,,4,5,58%,78% (29/37),44% (12/27),88% (7/8),41% (13/32),54% (14/26),80% (4/5),64% (41/64),47% (27/58),56% (68/122),8,0,89% (8/9),44% (4/9),67% (12/18),"['5', '4']","['1', '0', '3', '2', '5', '2']",[],[],[],1.08
03.03.2024,Ganta S. K. R.,0,,,,,,1,2,55%,59% (19/32),46% (12/26),20% (1/5),22% (8/37),56% (15/27),13% (1/8),53% (31/58),36% (23/64),44% (54/122),2,0,56% (5/9),11% (1/9),33% (6/18),[],"['1', '1']",[],[],[],6.88
25.10.2023,Kamath M.,2,,,,,,[],[],[],[],[],2.00
25.10.2023,Ganta S. K. R.,1,,,,,,[],[],[],[],[],1.73
