https://www.tennisexplorer.com/res/img/player/vg3itxEm-Sv3m8l2G.jpeg
Geerts Michael
Country: Belgium
Height / Weight: 178 cm / 73 kg
Age: 29 (17. 1. 1995)
Current/Highest rank - singles: 322. / 212.
Current/Highest rank - doubles: 298. / 162.
Sex: man
Plays: right
