Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,441/402,12/18,378/331,41/41,8/12,2/0
2024,0/3,-,0/3,-,-,-
2023,1/4,-,1/4,-,-,-
2022,2/7,-,2/6,0/1,-,-
2021,0/1,0/1,-,-,-,-
2020,0/1,-,0/1,-,-,-
2019,9/8,-,9/8,-,-,-
2018,1/5,0/1,0/3,1/1,-,-
2017,8/12,1/1,3/9,4/2,-,-
2016,6/14,0/2,4/10,2/2,-,-
2015,26/29,-,24/25,2/4,-,-
2014,35/25,-,33/21,2/4,-,-
2013,41/24,2/2,34/19,5/3,-,-
2012,32/25,-,24/20,7/3,1/2,-
2011,25/19,-,23/17,2/2,-,-
2010,38/21,1/1,30/17,7/3,-,-
2009,19/18,-,15/15,4/1,0/2,-
2008,27/27,-,26/25,1/2,-,-
2007,26/22,1/3,25/18,0/1,-,-
2006,31/25,-,24/16,2/4,3/5,2/0
2005,31/25,7/6,20/16,1/2,3/1,-
2004,30/31,-,28/26,1/3,1/2,-
2003,29/24,0/1,29/23,-,-,-
2002,23/29,-,23/28,0/1,-,-
2001,1/1,-,1/1,-,-,-
2000,0/1,-,-,0/1,-,-
1999,0/1,-,-,0/1,-,-
