Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,497/470,413/383,69/76,4/10,-,11/1
2024,13/20,11/19,2/1,-,-,-
2023,25/33,22/29,3/4,-,-,-
2022,41/32,29/24,1/7,-,-,11/1
2021,26/31,18/22,8/8,0/1,-,-
2020,11/13,3/4,8/8,0/1,-,-
2019,45/33,44/31,-,1/2,-,-
2018,42/33,41/32,-,1/1,-,-
2017,39/33,39/33,-,-,-,-
2016,21/29,21/22,0/5,0/2,-,-
2015,33/36,22/25,11/11,-,-,-
2014,39/32,29/26,8/4,2/2,-,-
2013,46/31,37/24,9/7,-,-,-
2012,37/32,31/24,6/8,-,-,-
2011,29/32,24/27,5/5,-,-,-
2010,29/25,23/21,6/4,-,-,-
2009,18/17,16/13,2/4,-,-,-
2008,3/8,3/7,-,0/1,-,-
