Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,536/406,139/113,313/226,42/33,32/26,10/8
2024,12/12,2/2,10/10,-,-,-
2023,28/19,2/3,24/16,2/0,-,-
2022,26/22,-,25/19,1/3,-,-
2021,16/13,8/8,7/4,-,1/1,-
2020,8/14,2/3,6/11,-,-,-
2019,1/3,-,1/3,-,-,-
2018,19/19,1/5,13/10,-,4/3,1/1
2017,24/25,4/8,20/16,-,0/1,-
2016,38/24,4/5,25/16,-,6/3,3/0
2015,48/28,15/9,25/13,5/3,3/3,-
2014,44/19,15/9,29/9,0/1,-,-
2012,16/21,4/7,10/9,-,2/3,0/2
2011,28/21,7/5,17/13,0/1,2/2,2/0
2010,15/17,1/2,8/10,6/2,0/1,0/2
2009,32/21,9/6,20/11,0/1,2/2,1/1
2008,21/23,6/5,2/9,5/5,7/2,1/2
2007,41/24,18/7,15/12,6/2,1/3,1/0
2006,35/25,6/4,22/14,5/6,1/1,1/0
2005,30/25,8/9,14/9,5/6,3/1,-
2004,19/16,12/10,6/5,1/1,-,-
2003,19/8,11/3,8/5,-,-,-
2002,16/7,4/3,6/2,6/2,-,-
