Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,334/209,316/186,17/21,0/2,-,1/0
2024,18/18,18/18,-,-,-,-
2023,41/22,41/21,0/1,-,-,-
2022,24/18,24/18,-,-,-,-
2021,40/28,39/26,0/2,-,-,1/0
2020,8/10,8/8,0/1,0/1,-,-
2019,56/28,49/19,7/8,0/1,-,-
2018,43/21,42/18,1/3,-,-,-
2017,18/17,16/16,2/1,-,-,-
2016,27/16,26/14,1/2,-,-,-
2015,33/16,33/16,-,-,-,-
2014,9/6,9/6,-,-,-,-
2013,17/9,11/6,6/3,-,-,-
