Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,78/37,43/19,15/9,20/9,-,-
2024,35/19,25/12,2/3,8/4,-,-
2023,41/17,16/6,13/6,12/5,-,-
2022,2/1,2/1,-,-,-,-
