Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,74/61,51/34,14/14,-,-,9/13
2024,46/30,40/22,-,-,-,6/8
2023,19/12,8/4,11/8,-,-,-
2022,6/10,-,3/5,-,-,3/5
2021,3/9,3/8,0/1,-,-,-
