Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,232/120,126/58,77/34,29/28,-,-
2024,61/17,56/14,3/1,2/2,-,-
2023,20/14,5/3,9/5,6/6,-,-
2022,34/14,15/9,11/1,8/4,-,-
2021,17/12,14/10,3/2,-,-,-
2020,43/23,3/1,37/20,3/2,-,-
2019,36/20,22/11,8/3,6/6,-,-
2018,13/10,4/5,6/2,3/3,-,-
2017,8/8,7/5,-,1/3,-,-
2016,0/1,-,-,0/1,-,-
2015,0/1,-,-,0/1,-,-
