Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,269/233,129/111,134/108,1/6,5/8,-
2024,38/33,33/23,5/10,-,-,-
2023,55/35,15/15,35/17,1/1,4/2,-
2022,63/40,7/9,56/29,0/2,-,-
2021,32/33,14/12,18/18,0/3,-,-
2020,4/5,-,4/3,-,0/2,-
2019,25/26,18/16,6/8,-,1/2,-
2018,14/19,13/15,1/4,-,-,-
2017,34/30,29/18,5/11,-,0/1,-
2016,3/7,0/1,3/5,-,0/1,-
2015,1/5,0/2,1/3,-,-,-
