Year,Summary,Clay,Hard,Indoors,Grass,Not,set
2024,29/24,23/12,4/8,0/1,1/2,"1/1
2023",30/26,5/6,10/9,11/7,1/3,"3/1
2022",43/29,15/7,14/11,4/6,6/4,"4/1
2021",60/24,26/11,17/5,13/5,3/3,"1/0
2020",19/14,6/6,1/2,12/6,-,"-
2019",64/23,22/8,10/5,30/8,-,"2/2
2018",31/23,17/15,-,14/7,0/1,"-
2017",32/21,24/16,-,8/5,-,"-
2016",43/13,24/10,-,19/3,-,"-
2015",23/11,23/11,-,-,-,"-
2014",7/7,4/7,-,3/0,-,"-
2013",2/2,2/2,-,-,-,"-
2011",0/1,0/1,-,-,-,-
Summary:,383/218,191/112,56/40,114/48,11/13,11/5
