Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,26/16,3/3,1/2,-,-,22/11
2024,8/5,-,1/1,-,-,7/4
2023,9/2,-,0/1,-,-,9/1
2022,6/6,-,-,-,-,6/6
2021,3/3,3/3,-,-,-,-
