Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,170/123,134/99,34/23,-,2/1,-
2024,32/22,28/18,2/3,-,2/1,-
2023,39/30,35/28,4/2,-,-,-
2022,45/32,40/29,5/3,-,-,-
2021,43/24,25/15,18/9,-,-,-
2020,10/9,5/3,5/6,-,-,-
2019,1/5,1/5,-,-,-,-
2018,0/1,0/1,-,-,-,-
