Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,45/39,22/21,16/12,7/6,-,-
2024,10/9,10/9,-,-,-,-
2023,17/16,4/4,10/8,3/4,-,-
2022,8/6,4/4,-,4/2,-,-
2021,9/7,3/3,6/4,-,-,-
2020,1/1,1/1,-,-,-,-
