Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.07.,Alujas R.,2,,,,,,[],"['2', '0', '4', '0', '6', '0']","['2', '0']",[],[],1.02
02.07.,Chepik A.,1,,,,,,"['2', '1', '4', '1']",[],[],[],[],9.70
28.05.,Tokuda R.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.05
28.05.,Chepik A.,0,,,,,,[],[],[],[],[],7.90
11.09.2024,Aggarwal P.,2,,,,,,"['1', '0', '5', '4']","['2', '1']",[],[],[],1.42
11.09.2024,Chepik A.,0,,,,,,"['3', '3']",[],[],[],[],2.72
29.11.2023,Azoidis D.,2,,,,,,[],[],[],[],[],1.14
29.11.2023,Chepik A.,1,,,,,,[],[],[],[],[],5.04
15.11.2023,Brumm J.,2,,,,,,[],[],[],[],[],1.09
15.11.2023,Chepik A.,0,,,,,,[],[],[],[],[],6.38
19.09.2023,Srbljak G.,2,,,,,,[],[],[],[],[],1.17
19.09.2023,Chepik A.,0,,,,,,[],[],[],[],[],4.57
30.08.2023,Fantini L.,2,,,,,,[],[],[],[],[],1.17
30.08.2023,Chepik A.,0,,,,,,[],[],[],[],[],4.57
19.07.2023,Torres T.,2,,,,,,[],[],[],[],[],-
19.07.2023,Chepik A.,0,,,,,,[],[],[],[],[],-
14.06.2023,Arutiunian E.,2,,,,,,[],[],[],[],[],1.21
14.06.2023,Chepik A.,0,,,,,,[],[],[],[],[],4.04
09.06.2023,Stater A.,2,,,,,,[],[],[],[],[],1.31
09.06.2023,Chepik A.,0,,,,,,[],[],[],[],[],3.22
08.06.2023,Chepik A.,2,,,,,,[],[],[],[],[],-
08.06.2023,Bini V.,1,,,,,,[],[],[],[],[],-
07.06.2023,Broville M.,1,,,,,,[],[],[],[],[],-
07.06.2023,Chepik A.,1,,,,,,[],"['6', '3']",[],[],[],-
14.06.2020,Stepin A.,3,,,,,,"['1', '1', '3', '1']","['3', '4']","['1', '0', '5', '4', '6', '5']",[],[],-
14.06.2020,Chepik A.,1,,,,,,"['1', '0']","['3', '1', '6', '4']","['1', '1', '5', '5']",[],[],-
13.06.2020,Chepik A.,3,,,,,,[],"['3', '1', '6', '2']","['3', '3', '5', '5']",[],[],-
13.06.2020,Tripolskiy S.,0,,,,,,[],[],"['2', '1', '5', '4']",[],[],-
07.06.2020,Davidov V.,2,,,,,,"['1', '2']","['2', '0', '4', '0', '6', '0']","['7', '5']",[],[],-
07.06.2020,Chepik A.,1,,,,,,"['2', '0', '5', '3']",[],[],[],[],-
06.06.2020,Chepik A.,3,,,,,,[],"['6', '5']","['6', '5']",[],[],-
06.06.2020,Nosov M.,1,,,,,,[],[],[],[],[],-
04.06.2020,Chepik A.,3,,,,,,"['2', '3', '5', '4']","['2', '3', '4', '3']","['3', '2', '6', '3']",[],[],-
04.06.2020,Shutov E.,0,,,,,,"['3', '1']","['3', '1']",[],[],[],-
03.06.2020,Chepik A.,3,,,,,,[],"['2', '0']","['1', '0']","['1', '0']",[],-
03.06.2020,Zhiltsov A.,1,,,,,,"['2', '1', '4', '1']",[],[],[],[],-
