Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,111/75,67/48,44/27,-,-,-
2024,25/10,6/3,19/7,-,-,-
2023,1/2,1/2,-,-,-,-
2022,7/3,-,7/3,-,-,-
2021,9/8,9/8,-,-,-,-
2019,3/4,3/3,0/1,-,-,-
2018,36/24,20/12,16/12,-,-,-
2017,26/18,26/16,0/2,-,-,-
2016,2/2,0/1,2/1,-,-,-
2015,1/2,1/2,-,-,-,-
2014,1/2,1/1,0/1,-,-,-
