Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,27/30,22/21,-,0/1,-,5/8
2024,1/5,1/4,-,0/1,-,-
2023,20/17,17/12,-,-,-,3/5
2022,6/8,4/5,-,-,-,2/3
