Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,62/30,33/13,24/13,-,-,5/4
2024,6/5,3/2,2/2,-,-,1/1
2023,35/13,13/3,21/8,-,-,1/2
2022,21/10,17/7,1/2,-,-,3/1
2021,0/1,-,0/1,-,-,-
2019,0/1,0/1,-,-,-,-
