Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,160/115,66/58,91/52,3/5,-,-
2024,35/22,21/16,14/6,-,-,-
2023,45/25,5/6,40/19,-,-,-
2022,18/23,6/7,12/15,0/1,-,-
2021,34/18,9/7,25/11,-,-,-
2019,11/12,11/12,-,-,-,-
2018,14/10,14/9,0/1,-,-,-
2017,2/2,-,-,2/2,-,-
2016,1/3,0/1,-,1/2,-,-
