Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,307/263,15/15,276/233,16/11,0/4,-
2024,21/21,0/1,21/20,-,-,-
2023,13/14,-,13/14,-,-,-
2022,18/19,-,18/19,-,-,-
2021,1/4,1/2,-,-,0/2,-
2020,13/7,-,8/7,5/0,-,-
2019,42/35,2/2,40/30,0/2,0/1,-
2018,41/25,0/2,40/22,1/1,-,-
2017,29/28,3/3,26/25,-,-,-
2016,30/29,8/2,20/25,2/2,-,-
2015,31/30,0/1,31/28,-,0/1,-
2014,45/25,-,39/21,6/4,-,-
2013,22/23,-,20/21,2/2,-,-
2012,1/2,1/2,-,-,-,-
2009,0/1,-,0/1,-,-,-
