Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.08.,Cacao T.,2,,,,,,[],"['2', '0', '4', '0']","['3', '2', '5', '2']",[],[],1.36
20.08.,Graca J.,1,,,,,,"['3', '2', '5', '2']",[],[],[],[],2.94
12.08.,McCormick T.,2,,,,,,"['2', '1', '5', '2']","['4', '3']",[],[],[],1.71
12.08.,Graca J.,0,,,,,,[],[],[],[],[],20.0
23.07.,Moro Canas A.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '5', '2']",[],[],[],-
23.07.,Graca J.,0,,,,,,"['3', '2']",[],[],[],[],21.00
16.07.,Broom C.,2,,,,,,"['2', '1', '5', '2']","['1', '0']",[],[],[],1.05
16.07.,Graca J.,0,,,,,,[],"['1', '1']",[],[],[],7.80
02.07.,Domingues J.,2,,,,,,"['2', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.28
02.07.,Graca J.,0,,,,,,[],[],[],[],[],3.40
25.06.,Car H.,2,,,,,,"['5', '3']","['1', '0', '2', '1', '5', '2']",[],[],[],2.12
25.06.,Graca J.,0,,,,,,[],"['1', '1', '3', '5']",[],[],[],1.64
04.06.,Brancaccio R.,2,,,,,,"['6', '5']","['4', '5']",[],[],[],1.06
04.06.,Graca J.,0,,,,,,[],"['3', '1']",[],[],[],7.40
28.05.,Miletich I.,2,,,,,,"['2', '1', '4', '1']","['3', '2']",[],[],[],1.23
28.05.,Graca J.,0,,,,,,[],[],[],[],[],3.81
11.05.,Zeppieri G.,2,,,,,,4,1,61%,90% (27/30),74% (14/19),100% (1/1),33% (16/48),55% (12/22),40% (2/5),84% (41/49),40% (28/70),58% (69/119),8,0,100% (10/10),20% (2/10),60% (12/20),"['4', '3']","['5', '4']",[],[],[],1.01
11.05.,Graca J.,0,,,,,,2,2,69%,67% (32/48),45% (10/22),60% (3/5),10% (3/30),26% (5/19),0% (0/1),60% (42/70),16% (8/49),42% (50/119),2,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],11.70
28.04.,Pellegrino A.,2,,,,,,6,2,66%,81% (25/31),63% (10/16),0% (0/1),23% (5/22),74% (20/27),57% (4/7),21,17,60% (3/5),74% (35/47),51% (25/49),63% (60/96),6,0,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '2']","['1', '0', '3', '0']",[],[],[],1.02
28.04.,Graca J.,0,,,,,,5,1,45%,77% (17/22),26% (7/27),43% (3/7),19% (6/31),38% (6/16),100% (1/1),11,24,100% (1/1),49% (24/49),26% (12/47),38% (36/96),4,0,50% (4/8),11% (1/9),29% (5/17),"['2', '3']",[],[],[],[],10.20
24.04.,Berger A.,2,,,,,,"['2', '2']","['3', '2']","['4', '3']",[],[],1.85
24.04.,Graca J.,1,,,,,,"['1', '0', '3', '2', '6', '3']",[],[],[],[],1.85
23.04.,Graca J.,2,,,,,,[],"['2', '0']","['2', '1', '5', '2']",[],[],3.20
23.04.,De Jonge D.,1,,,,,,"['3', '2', '5', '2']",[],[],[],[],1.31
13.04.,Cerundolo J. M.,2,,,,,,2,4,44%,74% (17/23),55% (16/29),75% (3/4),55% (18/33),56% (9/16),83% (5/6),63% (33/52),55% (27/49),59% (60/101),7,0,88% (7/8),63% (5/8),75% (12/16),"['2', '1', '5', '2', '6', '3']","['2', '0', '5', '1']",[],[],[],1.01
13.04.,Graca J.,0,,,,,,1,0,67%,45% (15/33),44% (7/16),17% (1/6),26% (6/23),45% (13/29),25% (1/4),45% (22/49),37% (19/52),41% (41/101),3,1,38% (3/8),13% (1/8),25% (4/16),"['3', '5']",[],[],[],[],11.70
09.04.,Tepmahc N.,2,,,,,,"['1', '0', '3', '0', '4', '1', '5', '2']","['1', '0', '3', '2', '5', '2']",[],[],[],1.19
09.04.,Graca J.,0,,,,,,"['1', '3', '2', '4']","['1', '1', '3', '5']",[],[],[],4.28
03.04.,Bertimon C.,2,,,,,,"['2', '0']","['1', '0', '3', '0']",[],[],[],-
03.04.,Graca J.,0,,,,,,[],[],[],[],[],-
02.04.,Graca J.,2,,,,,,"['1', '0', '2', '1', '6', '3']","['5', '5']","['4', '2']",[],[],1.62
02.04.,Krall L.,1,,,,,,"['1', '1']","['2', '1', '6', '5']",[],[],[],2.18
19.03.,Bondioli F.,1,,,,,,[],[],[],[],[],1.19
19.03.,Graca J.,0,,,,,,[],[],[],[],[],4.23
26.02.,Ilagan A.,2,,,,,,[],"['2', '0', '5', '1']","['2', '1']",[],[],1.05
26.02.,Graca J.,1,,,,,,"['2', '1']",[],"['4', '4']",[],[],7.70
20.02.,Soriano Barrera A.,2,,,,,,"['4', '5']","['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],1.06
20.02.,Graca J.,1,,,,,,"['5', '3']",[],[],[],[],7.30
19.02.,Graca J.,2,,,,,,"['6', '6']","['3', '4']",[],[],[],2.66
19.02.,Marques D.,0,,,,,,"['6', '5']","['3', '1']",[],[],[],1.43
28.07.2024,Butvilas E.,2,,,,,,9,3,59%,84% (31/37),62% (16/26),83% (5/6),23% (7/30),53% (19/36),75% (3/4),75% (47/63),39% (26/66),57% (73/129),8,0,91% (10/11),27% (3/11),59% (13/22),"['6', '4']","['2', '2', '7', '5']",[],[],[],1.08
28.07.2024,Graca J.,0,,,,,,3,4,45%,77% (23/30),47% (17/36),25% (1/4),16% (6/37),38% (10/26),17% (1/6),61% (40/66),25% (16/63),43% (56/129),2,0,73% (8/11),9% (1/11),41% (9/22),[],"['1', '0']",[],[],[],7.13
24.07.2024,Domingues J.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '4', '1']",[],[],[],1.19
24.07.2024,Graca J.,0,,,,,,[],[],[],[],[],4.30
