Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,418/331,59/66,263/171,87/71,1/9,8/14
2024,13/21,2/5,6/9,5/6,-,0/1
2023,33/29,0/3,6/10,26/14,0/1,1/1
2022,21/18,3/4,2/4,15/6,0/2,1/2
2021,41/29,15/11,17/9,8/8,0/1,1/0
2020,13/15,1/5,2/3,10/5,-,0/2
2019,29/28,-,17/13,10/11,1/3,1/1
2018,37/28,5/5,29/17,2/3,0/1,1/2
2017,57/34,22/14,34/16,0/2,0/1,1/1
2016,44/32,2/6,34/15,7/10,-,1/1
2015,51/35,2/4,48/27,0/1,-,1/3
2014,51/28,7/5,43/20,1/3,-,-
2013,20/16,0/1,18/14,2/1,-,-
2012,7/11,-,6/10,1/1,-,-
2011,1/5,0/2,1/3,-,-,-
2010,0/2,0/1,0/1,-,-,-
