Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
29.05.,Bar Biryukov P.,2,,,,,,22,4,64%,85% (58/68),56% (22/39),100% (4/4),24% (19/80),30% (7/23),20% (1/5),75% (80/107),25% (26/103),50% (106/210),5,0,100% (17/17),6% (1/17),53% (18/34),"['1', '0']",[],[],[],[],1.93
29.05.,Ilkel C.,1,,,,,,9,1,78%,76% (61/80),70% (16/23),80% (4/5),15% (10/68),44% (17/39),0% (0/4),75% (77/103),25% (27/107),50% (104/210),5,2,94% (16/17),0% (0/17),47% (16/34),[],[],[],[],[],1.80
28.05.,Ilkel C.,2,,,,,,8,0,57%,86% (25/29),50% (11/22),75% (3/4),51% (25/49),35% (6/17),40% (4/10),71% (36/51),47% (31/66),57% (67/117),8,0,89% (8/9),40% (4/10),63% (12/19),"['3', '2', '5', '4']","['2', '1', '6', '3']",[],[],[],1.55
28.05.,Sasikumar M.,0,,,,,,2,1,74%,49% (24/49),65% (11/17),60% (6/10),14% (4/29),50% (11/22),25% (1/4),53% (35/66),29% (15/51),43% (50/117),2,0,60% (6/10),11% (1/9),37% (7/19),"['3', '3']",[],[],[],[],2.36
18.05.,Hussey G.,2,,,,,,5,2,64%,72% (44/61),44% (15/34),89% (8/9),20% (7/35),53% (16/30),50% (2/4),62% (59/95),35% (23/65),51% (82/160),5,0,91% (10/11),20% (2/10),57% (12/21),"['3', '4']","['4', '2']",[],[],[],1.54
18.05.,Ilkel C.,0,,,,,,5,1,54%,80% (28/35),47% (14/30),50% (2/4),28% (17/61),56% (19/34),11% (1/9),65% (42/65),38% (36/95),49% (78/160),5,0,80% (8/10),9% (1/11),43% (9/21),"['4', '2']",[],[],[],[],2.38
13.05.,Karlovskiy E.,2,,,,,,"['1', '2', '3', '2', '5', '2']","['2', '1']",[],[],[],2.09
13.05.,Ilkel C.,0,,,,,,"['2', '0']",[],[],[],[],1.68
26.04.,Purtseladze S.,2,,,,,,"['1', '0']","['3', '2']",[],[],[],1.74
26.04.,Ilkel C.,0,,,,,,[],[],[],[],[],1.97
25.04.,Ilkel C.,2,,,,,,[],"['4', '2', '6', '2']","['5', '3']",[],[],-
25.04.,Tiurnev E.,1,,,,,,"['2', '1', '4', '1']",[],[],[],[],-
24.04.,Ilkel C.,2,,,,,,"['3', '1']","['3', '2']",[],[],[],1.51
24.04.,Krajci M.,0,,,,,,[],[],[],[],[],2.42
23.04.,Ilkel C.,2,,,,,,"['4', '2']","['2', '1', '4', '3']",[],[],[],1.04
23.04.,Gasimov K.,0,,,,,,[],"['2', '2']",[],[],[],8.20
18.04.,Purtseladze S.,2,,,,,,"['1', '0', '4', '1', '6', '1']",[],"['6', '4']",[],[],2.04
18.04.,Ilkel C.,1,,,,,,[],"['5', '4']",[],[],[],1.69
17.04.,Ilkel C.,2,,,,,,"['2', '0', '6', '4']",[],[],[],[],1.11
17.04.,Lavizzari M.,1,,,,,,"['1', '2']","['1', '0', '5', '2']",[],[],[],5.65
27.03.,Alkaya M.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '5', '4']",[],[],[],3.04
27.03.,Ilkel C.,0,,,,,,"['3', '2']","['1', '1']",[],[],[],1.34
25.03.,Haupt H.,0,,,,,,[],[],[],[],[],9.40
25.03.,Ilkel C.,0,,,,,,"['3', '1', '5', '1']",[],[],[],[],1.03
21.03.,Sakellaridis S.,2,,,,,,"['6', '4']","['2', '0', '6', '4']",[],[],[],1.68
21.03.,Ilkel C.,0,,,,,,[],"['1', '2']",[],[],[],2.06
20.03.,Ilkel C.,2,,,,,,[],"['2', '0', '6', '2']","['2', '0', '6', '4']",[],[],1.14
20.03.,Duran T.,1,,,,,,"['2', '0']",[],"['2', '3']",[],[],4.85
18.03.,Ilkel C.,2,,,,,,"['4', '2', '6', '2']","['3', '5']","['2', '0', '6', '2']",[],[],1.12
18.03.,Correia J.,1,,,,,,[],"['2', '1', '4', '1']",[],[],[],5.40
02.03.,Ilkel C.,2,,,,,,"['4', '2']","['2', '1', '5', '4']",[],[],[],1.18
02.03.,Bastiaansen P.,0,,,,,,[],"['4', '4']",[],[],[],4.38
01.03.,Ilkel C.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '4', '6', '4']",[],[],[],1.18
01.03.,Fuele M.,0,,,,,,[],"['3', '2']",[],[],[],4.33
28.02.,Ilkel C.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.21
28.02.,Duran T.,0,,,,,,[],[],[],[],[],4.08
27.02.,Ilkel C.,2,,,,,,"['2', '0']","['3', '2', '5', '2']",[],[],[],1.03
27.02.,Longwe-Smit T.,0,,,,,,[],[],[],[],[],8.90
26.02.,Ilkel C.,2,,,,,,"['2', '1', '5', '2']","['4', '3']",[],[],[],1.07
26.02.,Statham M.,0,,,,,,[],[],[],[],[],6.75
24.02.,Donski A.,2,,,,,,"['6', '6']","['1', '0']",[],[],[],3.62
24.02.,Ilkel C.,0,,,,,,"['6', '5']",[],[],[],[],1.25
23.02.,Ilkel C.,2,,,,,,"['2', '0', '4', '0']","['6', '5']",[],[],[],1.14
