Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,173/106,173/106,-,-,-,-
2024,1/1,1/1,-,-,-,-
2021,0/1,0/1,-,-,-,-
2013,5/1,5/1,-,-,-,-
2012,9/2,9/2,-,-,-,-
2011,5/4,5/4,-,-,-,-
2010,3/5,3/5,-,-,-,-
2009,19/20,19/20,-,-,-,-
2008,50/24,50/24,-,-,-,-
2007,25/18,25/18,-,-,-,-
2006,28/16,28/16,-,-,-,-
2005,25/11,25/11,-,-,-,-
2004,3/3,3/3,-,-,-,-
