Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,528/300,280/121,136/93,86/60,16/20,10/6
2024,8/15,4/10,3/4,-,0/1,1/0
2023,28/31,18/15,2/6,8/6,0/2,0/2
2022,23/21,8/11,2/2,13/8,-,-
2021,9/10,4/4,5/5,-,0/1,-
2020,50/12,24/4,17/5,7/3,2/0,-
2019,49/22,23/7,15/9,10/4,0/1,1/1
2018,56/22,27/8,14/8,10/4,1/2,4/0
2017,50/27,22/5,16/13,6/6,4/3,2/0
2016,58/24,25/7,19/10,5/5,7/2,2/0
2015,39/31,20/8,8/11,9/6,2/4,0/2
2014,42/27,19/8,19/10,4/4,0/4,0/1
2013,49/17,46/13,-,3/4,-,-
2012,48/24,32/11,6/8,10/5,-,-
2011,17/13,6/8,10/2,1/3,-,-
2010,2/4,2/2,-,0/2,-,-
