Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,94/67,65/36,10/8,19/23,-,-
2024,25/18,23/13,1/3,1/2,-,-
2023,47/27,31/13,4/2,12/12,-,-
2022,19/18,11/9,5/3,3/6,-,-
2021,3/4,0/1,-,3/3,-,-
