Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,522/458,323/255,107/95,77/94,15/14,-
2024,29/19,23/13,5/5,-,1/1,-
2023,23/20,6/8,13/8,4/3,0/1,-
2022,27/12,15/5,12/7,-,-,-
2021,21/25,17/13,2/5,0/3,2/4,-
2020,13/11,6/5,7/4,0/2,-,-
2019,41/27,28/14,6/5,6/6,1/2,-
2018,36/28,15/16,9/4,7/6,5/2,-
2017,29/21,19/12,7/6,3/2,0/1,-
2016,18/27,9/11,4/10,0/5,5/1,-
2015,29/37,17/17,5/9,6/9,1/2,-
2014,43/28,30/18,10/7,3/3,-,-
2013,38/32,23/14,10/9,5/9,-,-
2012,25/33,14/17,0/1,11/15,-,-
2011,35/23,17/10,6/4,12/9,-,-
2010,28/25,20/19,3/1,5/5,-,-
2009,10/27,7/18,0/2,3/7,-,-
2008,30/26,14/16,5/5,11/5,-,-
2007,35/25,32/19,3/3,0/3,-,-
2006,12/11,11/9,-,1/2,-,-
2005,0/1,0/1,-,-,-,-
