Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,72/88,38/45,34/43,-,-,-
2024,15/14,5/7,10/7,-,-,-
2023,16/23,9/10,7/13,-,-,-
2022,21/24,13/13,8/11,-,-,-
2021,12/15,3/7,9/8,-,-,-
2020,4/3,4/3,-,-,-,-
2019,0/2,-,0/2,-,-,-
2018,2/3,2/2,0/1,-,-,-
2017,2/4,2/3,0/1,-,-,-
