Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,61/36,-,61/32,0/3,0/1,-
2024,25/11,-,25/10,0/1,-,-
2023,30/21,-,30/19,0/1,0/1,-
2022,6/4,-,6/3,0/1,-,-
