Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Seoul (South Korea) - Qualification,hard,header
14.09. 07:45,Hibino N.,1,6,3,2,,,0,8,55%,55% (23/42),40% (14/35),58% (7/12),32% (10/31),58% (25/43),71% (5/7),7,48% (37/77),47% (35/74),48% (72/151),3,55% (6/11),42% (5/12),48% (11/23),"['3', '2', '6', '3']","['2', '2', '3', '3']","['1', '0']",[],[],1.27
14.09. 07:45,Lee E.,1,3,6,3,,,2,10,42%,68% (21/31),42% (18/43),29% (2/7),45% (19/42),60% (21/35),42% (5/12),10,53% (39/74),52% (40/77),52% (79/151),3,58% (7/12),45% (5/11),52% (12/23),[],"['1', '0', '3', '2', '4', '3', '6', '3']","['2', '2']",[],[],3.80
WTA - SINGLES :  US Open (USA),hard,header
27.08. 23:25,Hibino N.,0,0,1,,,,0,2,60%,38% (9/24),38% (6/16),29% (2/7),19% (5/27),33% (3/9),0% (0/0),6,24,54% (7/13),4,38% (15/40),22% (8/36),30% (23/76),1,17% (1/6),0% (0/7),8% (1/13),286,[],[],[],[],[],4.23
27.08. 23:25,Wozniacki C.,2,6,6,,,,1,2,75%,81% (22/27),67% (6/9),0% (0/0),63% (15/24),63% (10/16),71% (5/7),10,6,86% (6/7),7,78% (28/36),63% (25/40),70% (53/76),7,100% (7/7),83% (5/6),92% (12/13),206,"['2', '0', '4', '0', '6', '0']","['3', '1', '5', '1']",[],[],[],1.23
WTA - SINGLES :  US Open (USA) - Qualification,hard,header
22.08. 20:35,Hibino N.,2,1,6,6,,,0,2,61%,60% (26/43),54% (15/28),73% (8/11),44% (21/48),68% (15/22),60% (6/10),5,58% (41/71),51% (36/70),55% (77/141),8,70% (7/10),55% (6/11),62% (13/21),"['1', '4']","['3', '1', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],1.59
22.08. 20:35,Jang S. J.,1,6,2,0,,,0,7,69%,56% (27/48),32% (7/22),40% (4/10),40% (17/43),46% (13/28),27% (3/11),7,49% (34/70),42% (30/71),45% (64/141),4,45% (5/11),30% (3/10),38% (8/21),"['2', '0', '4', '0', '5', '1']",[],[],[],[],2.36
21.08. 22:35,Hibino N.,2,6,3,6,,,3,1,75%,55% (36/66),45% (10/22),54% (7/13),42% (29/69),67% (20/30),78% (7/9),5,52% (46/88),49% (49/99),51% (95/187),4,57% (8/14),47% (7/15),52% (15/29),"['1', '0', '3', '0', '5', '2']","['1', '2']","['2', '2', '3', '3', '6', '4']",[],[],1.28
21.08. 22:35,Mladenovic K.,1,4,6,4,,,0,9,70%,58% (40/69),33% (10/30),22% (2/9),45% (30/66),55% (12/22),46% (6/13),8,51% (50/99),48% (42/88),49% (92/187),2,53% (8/15),43% (6/14),48% (14/29),"['2', '4', '3', '5']","['2', '0', '3', '1']","['2', '1', '3', '2']",[],[],3.59
20.08. 01:35,Hibino N.,2,5,6,6,,,3,8,60%,54% (34/63),38% (16/42),27% (3/11),42% (28/67),63% (25/40),47% (9/19),7,48% (50/105),50% (53/107),49% (103/212),5,47% (7/15),56% (9/16),52% (16/31),"['2', '5', '4', '5']","['1', '2', '2', '3', '3', '4', '5', '4']","['2', '1', '3', '2', '5', '2']",[],[],1.58
20.08. 01:35,Todoni A. A.,1,7,4,4,,,7,6,63%,58% (39/67),38% (15/40),53% (10/19),46% (29/63),62% (26/42),73% (8/11),13,50% (54/107),52% (55/105),51% (109/212),5,44% (7/16),53% (8/15),48% (15/31),"['2', '0', '4', '0', '7', '5']","['2', '0', '3', '1', '4', '2']","['2', '2', '3', '5']",[],[],2.35
ITF WOMEN - SINGLES :  W100 Cary,hard,header
13.08. 06:00,Hibino N.,0,4,6^2,,,,"['3', '4']","['2', '1']",[],[],[],2.15
13.08. 06:00,Starodubtseva Y.,2,6,7^7,,,,"['2', '0', '6', '4']","['5', '5']",[],[],[],1.65
WTA - SINGLES :  Toronto (Canada),hard,header
08.08. 04:40,Hibino N.,1,3,7,1,,,0,3,60%,60% (35/58),37% (14/38),36% (4/11),30% (14/47),54% (15/28),80% (4/5),7,51% (49/96),39% (29/75),46% (78/171),4,50% (7/14),29% (4/14),39% (11/28),"['2', '3']","['3', '3', '5', '5', '7', '5']",[],[],[],4.15
08.08. 04:40,Fernandez L.,2,6,5,6,,,5,5,63%,70% (33/47),46% (13/28),20% (1/5),40% (23/58),63% (24/38),64% (7/11),6,61% (46/75),49% (47/96),54% (93/171),6,71% (10/14),50% (7/14),61% (17/28),"['3', '1', '5', '3']","['1', '0', '5', '4']","['2', '1', '4', '1', '6', '1']",[],[],1.24
