Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,41/45,19/19,20/24,2/2,-,-
2024,16/17,10/11,4/4,2/2,-,-
2023,17/13,9/6,8/7,-,-,-
2022,8/9,0/2,8/7,-,-,-
2021,0/6,-,0/6,-,-,-
