Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Falabella L. A.,2,,,,,,"['3', '1', '7', '5']","['4', '2']","['2', '0', '5', '1']",[],[],1.72
27.08.,Basel V.,1,,,,,,"['3', '4']","['3', '4', '5', '4']",[],[],[],2.00
25.08.,Basel V.,2,,,,,,"['4', '4', '6', '4']","['2', '0', '3', '1', '5', '1']",[],[],[],-
25.08.,Lassaga E.,0,,,,,,"['1', '0']","['1', '2']",[],[],[],11.70
29.07.,Radjenovic V.,2,,,,,,[],"['1', '0', '3', '0']",[],[],[],2.03
29.07.,Basel V.,0,,,,,,[],"['2', '4']",[],[],[],1.70
24.07.,Jianu F. C.,2,,,,,,[],"['2', '2', '5', '3']","['1', '0', '3', '0']",[],[],1.06
24.07.,Basel V.,1,,,,,,"['5', '4']","['2', '1']","['2', '4']",[],[],7.20
23.07.,Basel V.,2,,,,,,"['1', '1', '2', '2', '4', '2', '6', '4']","['1', '1', '2', '2', '3', '3', '5', '3']",[],[],[],1.53
23.07.,Cattaneo L.,0,,,,,,"['1', '0', '2', '1', '3', '4']","['1', '0', '2', '1', '3', '2']",[],[],[],2.37
26.06.,Parizzia N.,2,,,,,,"['2', '1']",[],"['2', '0', '3', '1', '5', '1', '6', '6']",[],[],1.75
26.06.,Basel V.,1,,,,,,[],"['4', '2']","['1', '2', '2', '5', '4', '5', '6', '5']",[],[],1.96
24.06.,Basel V.,2,,,,,,"['2', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.42
24.06.,Covato M.,0,,,,,,[],[],[],[],[],2.69
17.06.,Donald M.,2,,,,,,"['4', '2']","['4', '3', '6', '3']",[],[],[],1.31
17.06.,Basel V.,0,,,,,,[],[],[],[],[],3.20
11.06.,Fajta P.,2,,,,,,"['4', '2']","['1', '1', '3', '1', '5', '1']","['3', '2', '4', '3', '6', '3']",[],[],1.17
11.06.,Basel V.,1,,,,,,"['3', '4', '5', '4']","['1', '0']","['3', '3']",[],[],4.48
06.06.,Guerrieri A.,2,,,,,,"['2', '1', '3', '2', '5', '4']","['1', '2', '2', '3', '3', '4', '5', '4']",[],[],[],1.11
06.06.,Basel V.,0,,,,,,"['2', '2', '4', '4']","['2', '0', '3', '1', '4', '2']",[],[],[],5.45
05.06.,Basel V.,2,,,,,,"['3', '2', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],4.24
05.06.,Castagnola L.,0,,,,,,"['4', '4']",[],[],[],[],1.13
03.06.,Basel V.,2,,,,,,"['1', '1', '2', '2', '4', '4', '6', '4']","['2', '0', '4', '0', '6', '2']",[],[],[],-
03.06.,Pecovnik J.,0,,,,,,"['1', '0', '2', '1', '3', '2']","['1', '4']",[],[],[],-
27.05.,Donald M.,2,,,,,,"['4', '2', '6', '4']","['4', '2', '6', '2']",[],[],[],1.27
27.05.,Basel V.,0,,,,,,"['3', '4']",[],[],[],[],3.46
21.04.,Monzon I.,2,,,,,,0,4,59%,67% (28/42),52% (15/29),60% (6/10),48% (27/56),52% (12/23),56% (5/9),61% (43/71),49% (39/79),55% (82/150),7,0,67% (8/12),42% (5/12),54% (13/24),"['3', '3', '4', '4']","['2', '3', '4', '3', '6', '5']",[],[],[],1.21
21.04.,Basel V.,0,,,,,,1,2,71%,52% (29/56),48% (11/23),44% (4/9),33% (14/42),48% (14/29),40% (4/10),51% (40/79),39% (28/71),45% (68/150),3,2,58% (7/12),33% (4/12),46% (11/24),"['2', '1', '4', '3']","['2', '0', '5', '5']",[],[],[],3.74
01.04.,Estevez J.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '3', '1', '6', '2']",[],[],[],1.18
01.04.,Basel V.,0,,,,,,[],"['1', '2']",[],[],[],4.32
19.03.,Cundom J.,2,,,,,,"['4', '3', '6', '3']","['2', '0', '3', '1', '6', '2']",[],[],[],1.66
19.03.,Basel V.,0,,,,,,[],"['1', '2']",[],[],[],2.11
02.03.,Boscardin Dias P.,2,,,,,,1,3,64%,67% (18/27),53% (8/15),33% (1/3),57% (21/37),72% (13/18),40% (6/15),62% (26/42),62% (34/55),62% (60/97),9,0,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '2', '1', '4', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.17
02.03.,Basel V.,0,,,,,,2,3,67%,43% (16/37),28% (5/18),60% (9/15),33% (9/27),47% (7/15),67% (2/3),38% (21/55),38% (16/42),38% (37/97),1,0,25% (2/8),25% (2/8),25% (4/16),"['1', '1', '2', '2']",[],[],[],[],4.70
26.02.,Justo G. I.,2,,,,,,"['4', '3', '6', '5']","['1', '1', '3', '1']","['3', '1']",[],[],1.14
26.02.,Basel V.,1,,,,,,"['4', '4', '6', '6']","['1', '0', '2', '3', '4', '3']",[],[],[],4.90
19.02.,Aguilar Cardozo J.,2,,,,,,"['2', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.25
19.02.,Basel V.,0,,,,,,[],[],[],[],[],3.62
