Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Sintra (Portugal),hard,header
CHALLENGER MEN - SINGLES :  Bad Waltersdorf (Austria),clay,header
CHALLENGER MEN - SINGLES :  Bad Waltersdorf (Austria),clay,header
19.09. 16:50,Vrbensky M.,0,1,4,,,,4,4,60%,59% (22/37),44% (11/25),57% (4/7),25% (8/32),35% (8/23),0% (0/4),4,53% (33/62),29% (16/55),42% (49/117),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.52
19.09. 16:50,Seyboth Wild T.,2,6,6,,,,3,2,58%,75% (24/32),65% (15/23),100% (4/4),41% (15/37),56% (14/25),43% (3/7),7,71% (39/55),47% (29/62),58% (68/117),3,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '5', '1']","['4', '3']",[],[],[],1.24
18.09. 13:45,Vrbensky M.,2,5,6,6,,,4,3,58%,73% (36/49),50% (18/36),50% (3/6),36% (15/42),59% (22/37),55% (6/11),11,64% (54/85),47% (37/79),55% (91/164),5,79% (11/14),43% (6/14),61% (17/28),"['1', '0', '3', '2']","['2', '1', '6', '3']","['3', '1', '5', '1']",[],[],1.93
18.09. 13:45,Barranco Cosano J.,1,7,3,1,,,5,9,53%,64% (27/42),41% (15/37),45% (5/11),27% (13/49),50% (18/36),50% (3/6),4,53% (42/79),36% (31/85),45% (73/164),5,57% (8/14),21% (3/14),39% (11/28),"['2', '2', '5', '5', '7', '5']",[],[],[],[],1.81
CHALLENGER MEN - SINGLES :  Bad Waltersdorf (Austria) - Qualification,clay,header
17.09. 14:45,Vrbensky M.,2,7^7,6,,,,4,1,50%,80% (24/30),67% (20/30),75% (3/4),43% (22/51),40% (10/25),30% (3/10),12,73% (44/60),42% (32/76),56% (76/136),5,90% (9/10),30% (3/10),60% (12/20),"['5', '5']","['1', '0', '3', '0']",[],[],[],1.69
17.09. 14:45,Topo M.,0,6^4,2,,,,0,2,67%,57% (29/51),60% (15/25),70% (7/10),20% (6/30),33% (10/30),25% (1/4),5,58% (44/76),27% (16/60),44% (60/136),3,70% (7/10),10% (1/10),40% (8/20),"['4', '3']",[],[],[],[],2.11
16.09. 13:40,Vrbensky M.,2,6,6,,,,1,1,73%,65% (28/43),69% (11/16),50% (2/4),46% (26/56),50% (8/16),29% (4/14),6,66% (39/59),47% (34/72),56% (73/131),3,80% (8/10),44% (4/9),63% (12/19),"['4', '2', '6', '4']","['1', '1', '4', '2']",[],[],[],1.11
16.09. 13:40,Braynin A.,0,4,3,,,,4,5,78%,54% (30/56),50% (8/16),71% (10/14),35% (15/43),31% (5/16),50% (2/4),5,53% (38/72),34% (20/59),44% (58/131),2,56% (5/9),20% (2/10),37% (7/19),"['4', '5']","['1', '0']",[],[],[],6.15
CHALLENGER MEN - SINGLES :  Szczecin (Poland),clay,header
12.09. 17:40,Vrbensky M.,0,3,2,,,,2,0,60%,50% (23/46),45% (14/31),69% (9/13),36% (17/47),40% (6/15),25% (1/4),6,48% (37/77),37% (23/62),43% (60/139),2,50% (4/8),11% (1/9),29% (5/17),"['2', '1']",[],[],[],[],1.24
12.09. 17:40,Vatutin A.,2,6,6,,,,0,1,76%,64% (30/47),60% (9/15),75% (3/4),50% (23/46),55% (17/31),31% (4/13),8,63% (39/62),52% (40/77),57% (79/139),3,89% (8/9),50% (4/8),71% (12/17),"['2', '2', '5', '3']","['2', '1', '5', '2']",[],[],[],3.85
11.09. 20:15,Vrbensky M.,2,6,6,,,,3,1,66%,71% (27/38),70% (14/20),75% (3/4),25% (9/36),68% (17/25),43% (3/7),7,71% (41/58),43% (26/61),56% (67/119),4,90% (9/10),33% (3/9),63% (12/19),"['3', '1', '5', '1']","['3', '2']",[],[],[],4.40
11.09. 20:15,Munar J.,0,3,4,,,,4,3,59%,75% (27/36),32% (8/25),57% (4/7),29% (11/38),30% (6/20),25% (1/4),4,57% (35/61),29% (17/58),44% (52/119),2,67% (6/9),10% (1/10),37% (7/19),"['2', '5']",[],[],[],[],1.19
CHALLENGER MEN - SINGLES :  Tulln (Austria),clay,header
03.09. 15:30,Vrbensky M.,1,4,6,5,,,4,5,54%,73% (43/59),54% (27/50),83% (10/12),26% (18/69),48% (20/42),14% (1/7),5,64% (70/109),34% (38/111),49% (108/220),3,88% (14/16),6% (1/16),47% (15/32),[],"['2', '1']",[],[],[],2.00
03.09. 15:30,Paulson A.,2,6,4,7,,,5,6,62%,74% (51/69),52% (22/42),86% (6/7),27% (16/59),46% (23/50),17% (2/12),5,66% (73/111),36% (39/109),51% (112/220),3,94% (15/16),13% (2/16),53% (17/32),"['6', '4']",[],"['7', '5']",[],[],1.73
ITF MEN - SINGLES :  M25 Poznan (Poland),clay,header
25.08. 14:45,Vrbensky M.,1,7,4,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '4', '6', '5']","['1', '0']","['4', '5']",[],[],1.97
25.08. 14:45,Michalski D.,2,5,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '2']","['4', '4', '6', '4']","['2', '0', '6', '4']",[],[],1.76
24.08. 13:50,Vrbensky M.,2,4,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '4']","['5', '4']","['1', '0', '5', '2']",[],[],1.26
24.08. 13:50,Beckley A.,1,6,4,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1', '6', '4']",[],"['3', '5']",[],[],3.59
23.08. 15:50,Vrbensky M.,2,4,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0']","['1', '0', '5', '4']","['1', '0', '3', '0', '6', '1']",[],[],1.23
23.08. 15:50,Fomin S.,1,6,4,1,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '6', '4']","['2', '2']",[],[],[],3.86
22.08. 14:50,Vrbensky M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '6', '4']","['4', '2', '6', '2']",[],[],[],1.20
22.08. 14:50,Drzewiecki K.,0,4,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0']",[],[],[],[],4.17
21.08. 18:20,Vrbensky M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0']","['4', '3', '6', '3']",[],[],[],0
21.08. 18:20,Juszczak P.,0,1,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],0
CHALLENGER MEN - SINGLES :  Bonn (Germany),clay,header
06.08. 14:10,Vrbensky M.,1,1,7^7,2,,,1,3,58%,60% (36/60),49% (21/43),45% (5/11),22% (11/50),37% (10/27),50% (1/2),5,55% (57/103),27% (21/77),43% (78/180),3,57% (8/14),8% (1/13),33% (9/27),[],"['3', '4']",[],[],[],2.12
06.08. 14:10,Travaglia S.,2,6,6^5,6,,,8,0,65%,78% (39/50),63% (17/27),50% (1/2),40% (24/60),51% (22/43),55% (6/11),14,73% (56/77),45% (46/103),57% (102/180),9,92% (12/13),43% (6/14),67% (18/27),"['2', '1', '4', '1', '6', '1']","['2', '0']","['1', '0', '4', '1']",[],[],1.69
CHALLENGER MEN - SINGLES :  Liberec (Czech Republic),clay,header
02.08. 14:40,Vrbensky M.,1,6,1,3,,,2,3,60%,64% (35/55),46% (17/37),64% (7/11),27% (8/30),35% (14/40),50% (1/2),5,57% (52/92),31% (22/70),46% (74/162),3,69% (9/13),8% (1/12),40% (10/25),"['3', '1']",[],[],[],[],1.99
02.08. 14:40,Guinard M.,2,3,6,6,,,5,7,43%,73% (22/30),65% (26/40),50% (1/2),36% (20/55),54% (20/37),36% (4/11),6,69% (48/70),43% (40/92),54% (88/162),4,92% (11/12),31% (4/13),60% (15/25),[],"['2', '0', '5', '1']","['4', '3', '6', '3']",[],[],1.76
31.07. 14:40,Vrbensky M.,2,6,6,,,,3,2,68%,72% (26/36),65% (11/17),80% (4/5),48% (16/33),35% (6/17),67% (4/6),7,70% (37/53),44% (22/50),57% (59/103),3,89% (8/9),44% (4/9),67% (12/18),"['3', '2', '4', '3']","['1', '0', '4', '1']",[],[],[],1.58
31.07. 14:40,Sanchez Izquierdo N.,0,4,2,,,,2,2,66%,52% (17/33),65% (11/17),33% (2/6),28% (10/36),35% (6/17),20% (1/5),5,56% (28/50),30% (16/53),43% (44/103),1,56% (5/9),11% (1/9),33% (6/18),"['3', '3']",[],[],[],[],2.31
30.07. 13:40,Vrbensky M.,2,7,6,,,,4,3,43%,81% (21/26),59% (20/34),75% (3/4),35% (15/43),67% (20/30),33% (4/12),8,68% (41/60),48% (35/73),57% (76/133),9,90% (9/10),44% (4/9),68% (13/19),"['5', '5', '7', '5']","['2', '0', '4', '0']",[],[],[],1.88
30.07. 13:40,Kodat T.,0,5,1,,,,3,7,59%,65% (28/43),33% (10/30),67% (8/12),19% (5/26),41% (14/34),25% (1/4),5,52% (38/73),32% (19/60),43% (57/133),3,56% (5/9),10% (1/10),32% (6/19),"['4', '3']",[],[],[],[],1.86
CHALLENGER MEN - SINGLES :  Tampere (Finland),clay,header
22.07. 18:40,Vrbensky M.,0,4,3,,,,6,4,58%,69% (25/36),46% (12/26),63% (5/8),22% (7/32),41% (11/27),0% (0/3),5,60% (37/62),31% (18/59),45% (55/121),1,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],1.58
