Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,307/204,220/133,34/23,53/48,-,-
2024,35/22,29/16,4/3,2/3,-,-
2023,58/32,44/23,11/6,3/3,-,-
2022,56/28,37/17,7/3,12/8,-,-
2021,19/27,16/21,2/1,1/5,-,-
2020,32/25,27/19,2/2,3/4,-,-
2019,47/22,38/15,3/3,6/4,-,-
2018,35/29,17/13,5/5,13/11,-,-
2017,25/17,12/9,-,13/8,-,-
2016,0/2,-,-,0/2,-,-
