Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.02.,Bertola R.,2,,,,,,"['5', '5']","['3', '3', '5', '3']","['2', '1', '4', '1']",[],[],1.19
12.02.,Storrie R. J.,1,,,,,,"['2', '1', '6', '5']","['2', '1']",[],[],[],4.23
13.03.2024,Holt B.,2,,,,,,"['3', '2']","['1', '0', '4', '1']",[],[],[],1.09
13.03.2024,Storrie R. J.,0,,,,,,[],[],[],[],[],6.47
21.02.2024,Marques G.,2,,,,,,"['7', '5']","['4', '4', '7', '5']",[],[],[],6.36
21.02.2024,Storrie R. J.,0,,,,,,[],"['2', '1']",[],[],[],1.09
18.01.2024,Jones B.,2,,,,,,[],[],[],[],[],2.83
18.01.2024,Storrie R. J.,1,,,,,,"['5', '3']",[],[],[],[],1.39
16.01.2024,Storrie R. J.,2,,,,,,"['3', '1']",[],[],[],[],2.59
16.01.2024,Gautier A.,0,,,,,,[],[],[],[],[],1.46
13.12.2023,Knaff A.,2,,,,,,[],[],[],[],[],1.43
13.12.2023,Storrie R. J.,0,,,,,,[],[],[],[],[],2.67
06.12.2023,Nesterov P.,2,,,,,,[],[],[],[],[],1.54
06.12.2023,Storrie R. J.,1,,,,,,[],[],[],[],[],2.36
07.09.2023,Tkemaladze Z.,2,,,,,,[],[],[],[],[],2.91
07.09.2023,Storrie R. J.,1,,,,,,[],[],[],[],[],1.37
05.09.2023,Storrie R. J.,2,,,,,,[],[],[],[],[],1.19
05.09.2023,Trinker J.,0,,,,,,[],[],[],[],[],4.28
17.08.2023,Bertrand R.,2,,,,,,"['4', '3', '5', '4']","['2', '0']",[],[],[],1.93
17.08.2023,Storrie R. J.,0,,,,,,"['4', '4', '5', '5']",[],[],[],[],1.78
15.08.2023,Storrie R. J.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],[],1.53
15.08.2023,Simkiss L.,0,,,,,,[],"['3', '5']",[],[],[],2.38
08.08.2023,Wendelken H.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '3']","['2', '0', '6', '4']",[],[],1.74
08.08.2023,Storrie R. J.,1,,,,,,[],"['2', '2', '5', '5']","['4', '5']",[],[],1.98
02.08.2023,Houghton G.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '5', '2']",[],[],[],3.93
02.08.2023,Storrie R. J.,0,,,,,,[],[],[],[],[],1.22
01.08.2023,Storrie R. J.,2,,,,,,"['1', '0', '3', '0']","['2', '1']",[],[],[],1.22
01.08.2023,Klintcharov A.,0,,,,,,"['3', '5']",[],[],[],[],3.93
20.07.2023,Monday J.,2,,,,,,"['2', '1', '6', '3']",[],"['2', '0', '5', '1']",[],[],1.45
20.07.2023,Storrie R. J.,1,,,,,,[],"['2', '1']",[],[],[],2.60
19.07.2023,Storrie R. J.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '4', '1']",[],[],[],1.45
19.07.2023,Bondioli F.,0,,,,,,[],[],[],[],[],2.63
18.07.2023,Storrie R. J.,2,,,,,,[],"['4', '2', '7', '5']",[],[],[],2.99
18.07.2023,De Schepper K.,0,,,,,,[],"['4', '5']",[],[],[],1.35
12.07.2023,Cox D.,2,,,,,,"['2', '0']","['2', '1', '4', '1']",[],[],[],1.26
12.07.2023,Storrie R. J.,0,,,,,,[],[],[],[],[],3.72
11.07.2023,Storrie R. J.,2,,,,,,"['3', '1']",[],[],[],[],1.68
11.07.2023,Giunta M.,0,,,,,,[],[],[],[],[],2.09
02.05.2023,Bowden L.,2,,,,,,"['1', '2', '3', '2']","['3', '3']","['3', '2', '5', '2']",[],[],2.43
02.05.2023,Storrie R. J.,1,,,,,,"['2', '0', '3', '3', '5', '3']","['2', '1']",[],[],[],1.51
26.04.2023,Chidekh C.,2,,,,,,[],"['2', '3', '4', '3']",[],[],[],1.10
26.04.2023,Storrie R. J.,0,,,,,,[],"['2', '0', '4', '4']",[],[],[],5.95
13.01.2022,Gray A.,2,,,,,,"['4', '2', '6', '2']","['1', '1']","['2', '0', '3', '1', '5', '3']",[],[],1.48
13.01.2022,Storrie R. J.,1,,,,,,[],"['1', '0', '2', '1', '5', '2']","['1', '2', '3', '4']",[],[],2.66
12.01.2022,Storrie R. J.,2,,,,,,"['2', '5']","['1', '0', '3', '0']","['1', '0', '3', '2']",[],[],1.36
12.01.2022,Paris J.,1,,,,,,"['2', '0', '5', '1', '6', '2']",[],"['1', '1']",[],[],3.08
